,price,product_detail,hyperlink
0,1229.99,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-o11g-gaming/p/N82E16814126263
1,1179.99,EVGA GeForce RTX 2080 Ti XC ULTRA GAMING   11G-P4-2383-KR   11GB GDDR6   Dual HDB Fans & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2383-kr/p/N82E16814487401
2,529.99,EVGA GeForce RTX 2070 SUPER XC GAMING   08G-P4-3172-KR   8GB GDDR6   Dual HDB Fans   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3172-kr/p/N82E16814487454
3,239.99,EVGA GeForce GTX 1660 SC ULTRA GAMING   06G-P4-1067-KR   6GB GDDR5   Dual Fan   Metal Backplate,https://www.newegg.com/evga-geforce-gtx-1660-06g-p4-1067-kr/p/N82E16814487448
4,669.99,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS GP 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-ventus-gp-8g/p/N82E16814137462
5,1119.99,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti VENTUS GP 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-ventus-gp/p/N82E16814137451
6,519.99,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card   3 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N207SGAMING OC-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gd/p/N82E16814932212
7,539.99,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING   08G-P4-3173-KR   8GB GDDR6   Dual HDB Fans   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3173-kr/p/N82E16814487453
8,469.99,EVGA GeForce RTX 2060 SUPER XC ULTRA GAMING   08G-P4-3163-KR   8GB GDDR6   Dual HDB Fans   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3163-kr/p/N82E16814487458
9,509.99,EVGA GeForce RTX 2070 SUPER BLACK GAMING   08G-P4-3071-KR   8GB GDDR6,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3071-kr/p/N82E16814487456
10,202.99,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card   Super Compact   ZT-T16600K-10M,https://www.newegg.com/zotac-geforce-gtx-1660-zt-t16600k-10m/p/N82E16814500480
11,349.99,EVGA GeForce RTX 2060 SC Ultra GAMING   06G-P4-2067-KR   6GB GDDR6   Dual HDB Fans,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/N82E16814487442
12,209.99,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-gtx-1660-ventus-xs-6g-oc/p/N82E16814137400
13,584.99,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),https://www.newegg.com/geforce-rtx-2070-super-asus-rtx2070-super/p/N82E16814126330
14,999.99,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080
15,529.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-gaming-x/p/N82E16814137445
16,739.99,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-gaming-x-trio/p/N82E16814137442
17,719.99,EVGA GeForce RTX 2080 SUPER BLACK GAMING   08G-P4-3081-KR   8GB GDDR6,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3081-kr/p/N82E16814487461
18,419.99,EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING   08G-P4-3067-KR   8GB GDDR6   Dual HDB Fans   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3067-kr/p/N82E16814487460
19,239.99,ASUS ROG STRIX GeForce GTX 1060 DirectX 12 ROG-STRIX-GTX1060-A6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,https://www.newegg.com/asus-geforce-gtx-1060-rog-strix-gtx1060-a6g-gaming/p/N82E16814126257
