price,Brand,Series,Model,Interface,Chipset Manufacturer,GPU Series,GPU,Core Clock,Boost Clock,CUDA Cores,Effective Memory Clock,Memory Size,Memory Interface,Memory Type,DirectX,OpenGL,HDMI,Multi-Monitor Support,DisplayPort,Other Ports,Max Resolution,SLI Support,Virtual Reality Ready,Cooler,Thermal Design Power,System Requirements,Power Connector,HDCP Ready,Features,Max GPU Length,Card Dimensions (L x H),Slot Width,Package Contents,Date First Available,Operating Systems Supported,DVI,Dual-Link DVI Supported,Form Factor,Option,Edition,Low Profile Bracket Included,D-SUB,RAMDAC,Shader Clock,Stream Processors,CrossFireX Support,3D VISION Game Ready,RoHS Compliant,Thunderbolt 3,TV-Out,CATV,PixelPipelines,VIVO,Tuner,Windows Vista,Mac Edition,Eyefinity Support,
1229.99,ASUS,ROG Strix,ROG-STRIX-RTX2080TI-O11G-GAMING,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 Ti,1350 MHz,OC Mode: 1665 MHzGaming Mode: 1650 MHz,4352,14000 MHz,11GB,352-Bit,GDDR6,DirectX 12,OpenGL 4.6,2 x HDMI 2.0b,4,2 x DisplayPort 1.4,1 x USB Type-C,7680 x 4320,SLI Ready,Yes,Triple Fans,250W,Recommended PSU: 650W,2 x 8-Pin,2.2,NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes  solid polymer capacitors  and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.,305 mm,12.00" x 5.13",2.7-slot,Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop,October 31  2018,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1179.99,EVGA,None,11G-P4-2383-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 Ti,None,1650 MHz,4352,14000 MHz,11GB,352-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB TYPE-C,7680 x 4320,2-Way SLI,Yes,Double Fans,250W,650-Watt or greater power supply. PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.,2 x 8-Pin,2.2,NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate  Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",2.75 Slots,None,August 20  2018,Windows 10 64-bit  Windows 7 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
529.99,EVGA,None,08G-P4-3172-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2070 SUPER,None,1800 MHz,2560,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB Type-C VirtualLink,7680 x 4320,2-Way SLI,Yes,Double Fans,215W,650W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,2.2,NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate  Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",Dual Slot,None,June 28  2019,Windows 10 64-bit  Windows 7 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
239.99,EVGA,None,06G-P4-1067-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1660,None,1830 MHz,1408,8000 MHz,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,3,1 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,130W,Minimum of a 500-Watt power supplyOne available 8-pin PCIe power dongle,One available 8-pin PCIe power dongle,2.2,NVIDIA AnselAll-Metal Backplate  Pre-InstalledNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1,202 mm,7.96" x 4.38",Dual Slot,None,May 20  2019,Windows 10 64-bit  Windows 7 64-bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
669.99,MSI,None,RTX 2080 VENTUS GP 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080,None,1710 MHz,2944,14 Gbps,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,NVIDIA NVLINK (SLI-Ready)  2-way,Yes,Double Fans,215W,Recommended PSU: 650W,1 x 8-pin  1 x 6-pin,2.2,TORX Fan 2.0:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking Utility:Wireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNC and HDR:Get smooth  tear-free gameplay at refresh rates up to 240 Hz  plus HDR  and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR:By combining advanced VR rendering  real-time ray tracing  and AI  GeForce RTX will take VR to a new level of realism.,255 mm,10.04" x 5.00",None,None,August 16  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1119.99,MSI,None,RTX 2080 Ti VENTUS GP,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 Ti,None,1545 MHz,4352,14 Gbps,11GB,352-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,NVIDIA NVLINK (SLI-Ready)  2-way,Yes,Double Fans,250W,Recommended PSU: 650W,2 x 8-Pin,2.2,Customized Dual Fan Design- Double ball bearing: Strong and lasting core for years of smooth gaming.- Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.NVIDIA G-SYNC and HDR- Get smooth  tear-free gameplay at refresh rates up to 240 Hz  plus HDR  and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR- By combining advanced VR rendering  real-time ray tracing  and AI  GeForce RTX will take VR to a new level of realism.,268 mm,10.55" x 4.41",None,None,July 29  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
519.99,GIGABYTE,None,GV-N207SGAMING OC-8GD,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2070 SUPER,1815 MHz,None,2560,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.6,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320 @ 60 Hz,2-way NVIDIA NVLINK,Yes,WINDFORCE 3X,None,System PSU Limitation: 650W,1 x 8-Pin  1 x 6-Pin,None,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesProtection Metal Back Plate,287 mm,11.28" x 4.51",2.5 slot,Accessories:Quick guideDriver CD,August 30  2019,None,None,None,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
539.99,EVGA,None,08G-P4-3173-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2070 SUPER,None,1800 MHz,2560,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB Type-C VirtualLink,7680 x 4320,2-Way SLI,Yes,Double Fans,215W,650W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,An available 6-pin PCIe power connector and an available 8 pin PCIe power connector,2.2,NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate  Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",2.75 Slot,None,June 28  2019,Windows 10 64-bit  Windows 7 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
469.99,EVGA,None,08G-P4-3163-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2060 SUPER,None,1695 MHz,2176,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB Type-C VirtualLink,7680 x 4320,No,Yes,Double Fans,175W,550W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,2.2,NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate  Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",2.75 Slot,None,June 28  2019,Windows 10 (64-bit)  Windows 7 (64-bit),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
509.99,EVGA,None,08G-P4-3071-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2070 SUPER,None,1770 MHz,2560,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB Type-C VirtualLink,7680 x 4320,2-Way SLI,Yes,Double Fans,215W,650W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,2.2,NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",Dual Slot,None,June 28  2019,Windows 10 64-bit  Windows 7 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
