product_detail,hyperlink
AMD Ryzen 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-2700x/p/N82E16819113499
AMD RYZEN 5 2600X 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 95W YD260XBCAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600x/p/N82E16819113497
AMD RYZEN 7 2700 8-Core 3.2 GHz (4.1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-2700/p/N82E16819113498
AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600/p/N82E16819113496
AMD 2nd Gen Ryzen Threadripper 2950X   16-Core   32-Thread   4.4 GHz Max Boost (3.5 GHz Base)   Socket sTR4 180W YD295XA8AFWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-2950x/p/N82E16819113542
AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600/p/N82E16819113569
AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071BOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-3700x/p/N82E16819113567
AMD RYZEN 9 3900X 12-Core 3.8 GHz (4.6 GHz Max Boost) Socket AM4 105W 100-100000023BOX Desktop Processor,https://www.newegg.com/amd-ryzen-9-3900x/p/N82E16819113103
AMD RYZEN 5 3400G 4-Core 3.7 GHz (4.2 GHz Max Boost) Socket AM4 65W YD3400C5FHBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3400g/p/N82E16819113570
AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600x/p/N82E16819113568
AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-3800x/p/N82E16819113104
AMD Ryzen 9 3950X 16-Core 3.5 GHz Socket AM4 105W 100-100000051WOF Desktop Processor,https://www.newegg.com/amd-ryzen-9-3950x/p/N82E16819113616
AMD Ryzen Threadripper 3970X 32-Core 3.7 GHz Socket sTRX4 280W 100-100000011WOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-2990wx/p/N82E16819113618
AMD Ryzen Threadripper 3960X 24-Core 3.8 GHz Socket sTRX4 280W 100-100000010WOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-3960x/p/N82E16819113619
AMD RYZEN 3 1200 4-Core 3.1 GHz (3.4 GHz Turbo) Socket AM4 65W YD1200BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-1200/p/N82E16819113446
AMD Ryzen Threadripper 1900X 8-Core / 16 Threads 3.8 GHz Socket sTR4 180W YD190XA8AEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-1900x/p/N82E16819113457
AMD RYZEN 7 1700 8-Core 3.0 GHz (3.7 GHz Turbo) Socket AM4 65W YD1700BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-1700/p/N82E16819113428
AMD 1st Gen RYZEN Threadripper 1920X 12-Core / 24 Threads 3.5 GHz Socket sTR4 180W YD192XA8AEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-1920x/p/N82E16819113448
AMD 2nd Gen RYZEN Threadripper 2990WX 32-Core   64-Thread   4.2 GHz Max Boost (3.0 GHz Base)   Socket sTR4 250W YD299XAZAFWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-2990wx/p/N82E16819113541
AMD RYZEN 5 1600 6-Core 3.2 GHz (3.6 GHz Turbo) Socket AM4 65W YD1600BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-1600/p/N82E16819113435
AMD 2nd Gen Ryzen Threadripper 2920X 12-Core   24-Thread   4.3 GHz Max Boost (3.5 GHz Base)   Socket sTR4 180W YD292XA8AFWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-2920x/p/N82E16819113545
AMD 2nd Gen Ryzen Threadripper 24-Core   48-Thread   2970WX 4.2 GHz Max Boost (3.0 GHz Base)   Socket sTR4 250W YD297XAZAFWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-2970wx/p/N82E16819113546
AMD RYZEN 3 3200G 4-Core 3.6 GHz (4.0 GHz Max Boost) Socket AM4 65W YD3200C5FHBOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-3200g/p/N82E16819113571
AMD RYZEN 3 2200G Quad-Core 3.5 GHz (3.7 GHz Max Boost) Socket AM4 65W YD2200C5FBBOX Desktop Processor - Retail,https://www.newegg.com/amd-ryzen-3-2200g/p/N82E16819113481
AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-7-1700x/p/N82E16819113429
AMD RYZEN 3 1300X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD130XBBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-1300x/p/N82E16819113445
AMD RYZEN 7 1800X 8-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD180XBCAEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-7-1800x/p/N82E16819113430
AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-5-1600x/p/N82E16819113434
AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-1400/p/N82E16819113437
AMD RYZEN 5 1500X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-1500x/p/N82E16819113436
AMD RYZEN 5 2400G Quad-Core 3.6 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2400C5FBBOX Desktop Processor - Retail,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113480
AMD Athlon 240GE 2-Core   4-Thread   3.5 GHz Base   Socket AM4 35W YD240GC6FBBOX with Radeon Vega 3 Graphics Desktop Processor,https://www.newegg.com/amd-athlon-240ge/p/274-000M-000J9
AMD Athlon 220GE 2-Core   4-Thread   3.4 GHz Base   Socket AM4 35W YD220GC6FBBOX with Radeon Vega 3 Graphics Desktop Processor,https://www.newegg.com/amd-athlon-220ge/p/274-000M-000K0
AMD Athlon 200GE 2-Core   4-Thread   3.2 GHz Base   Socket AM4 35W YD200GC6FBBOX Desktop Processor,https://www.newegg.com/amd-athlon-200ge/p/N82E16819113544
AMD FX-6300 Vishera 6-Core 3.5 GHz Socket AM3+ 95W FD6300WMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-6000-series-fx-6300/p/N82E16819113286
AMD FX-8320E Vishera 8-Core 3.2GHz (4.0GHz Turbo) Socket AM3+ 95W FD832EWMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8320e/p/N82E16819113376
AMD FX-8350 Black Edition Vishera 8-Core 4.0 GHz (4.2 GHz Turbo) Socket AM3+ 125W FD8350FRHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8350-black-edition/p/N82E16819113284
AMD FX-6100 Zambezi 6-Core 3.3 GHz Socket AM3+ 95W FD6100WMGUSBX Desktop Processor,https://www.newegg.com/amd-fx-series-fx-6100/p/N82E16819103962
AMD FX-8320 Vishera 8-Core 3.5 GHz (4.0 GHz Turbo) Socket AM3+ 125W FD8320FRHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8320/p/N82E16819113285
AMD Phenom II X4 955 Black Edition Deneb Quad-Core 3.2 GHz Socket AM3 125W HDZ955FBGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x4-955-black-edition/p/N82E16819103674
AMD Ryzen 7 2700X AMD50 Gold Edition 3.7 GHz (4.3 GHz Max Boost) Socket AM4 YD270XBGAFA50 Desktop Processor,https://www.newegg.com/amd-ryzen-7-2700x-amd50-gold-edition/p/N82E16819113102
AMD Phenom II X2 550 Black Edition Callisto Dual-Core 3.1 GHz Socket AM3 80W HDZ550WFGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x2-550-black-edition/p/N82E16819103680
AMD A10-9700 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD9700AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a10-7th-gen-a10-9700/p/N82E16819113451
AMD A6-9500E Bristol Ridge Dual-Core 3.0 GHz Socket AM4 35W AD9500AHABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500e/p/N82E16819113455
AMD A6-7400K Kaveri Dual-Core 3.5 GHz Socket FM2+ 65W AD740KYBJABOX Desktop Processor AMD Radeon R5,https://www.newegg.com/a6-7th-gen-amd-a6-7400k/p/N82E16819113370
AMD A6-9500 Dual-Core 3.5 GHz Socket AM4 65W AD9500AGABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500/p/N82E16819113454
AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a8-7th-gen-a8-9600/p/N82E16819113453
AMD CPU FX-8350 Black Edition 4.0 GHz (4.2 GHz Turbo) Socket AM3+ FD8350FRHKHBX Desktop Processor with AMD Wraith Cooler,https://www.newegg.com/amd-fx-8000-series-fx-8350-black-edition/p/N82E16819113415
AMD Phenom II X6 1100T Black Edition Thuban 6-Core 3.3GHz   3.7GHz Turbo Socket AM3 125W HDE00ZFBGRBOX Desktop Processor,https://www.newegg.com/amd-phenom-ii-x6-1100t-black-edition/p/N82E16819103913
AMD FX-8300 Vishera 8-Core 3.3 GHz Socket AM3+ 95W FD8300WMW8KHK Processors - Desktops,https://www.newegg.com/amd-fx-series-fx-8300/p/N82E16819113426
AMD A12-9800 Bristol Ridge Quad-Core 3.8 GHz Socket AM4 65W AD9800AUABBOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a12-7th-gen-a12-9800/p/N82E16819113449
AMD Ryzen 5 2400G Raven Ridge Quad-Core 3.6 GHz Socket AM4 65W YD2400C5M4MFB Desktop Processor Radeon RX Vega 11 Graphics,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113513
AMD A10-7850K Kaveri Quad-Core 3.7 GHz Socket FM2+ 95W AD785KXBJABOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a-series-apu-a10-7850k/p/N82E16819113359
AMD Phenom II X6 1055T Thuban 6-Core 2.8 GHz Socket AM3 125W HDT55TFBGRBOX Desktop Processor,https://www.newegg.com/amd-phenom-ii-x6-1055t/p/N82E16819103851
AMD FX-6350 Vishera 6-Core 3.9 GHz (4.2 GHz Turbo) Socket AM3+ 125W FD6350FRHKHBX Desktop Processor,https://www.newegg.com/amd-fx-6000-series-fx-6350/p/N82E16819113416
AMD 8-Core 4.0 GHz Socket AM3+ FD8350FRW8KHK FX-8350 8C AM3+ 125W Tray,https://www.newegg.com/p/N82E16819113106
AMD A6-6400K Richland Dual-Core 3.9 GHz Socket FM2 65W AD640KOKHLBOX Desktop Processor - Black Edition AMD Radeon HD,https://www.newegg.com/amd-a6-series-a6-6400k/p/N82E16819113335
AMD Sempron 2650 Kabini Dual-Core 1.4 GHz Socket AM1 25W SD2650JAHMBOX Desktop Processor AMD Radeon HD 8240,https://www.newegg.com/amd-sempron-2650/p/N82E16819113367
AMD A8-7650K with AMD quiet cooler Quad-Core Socket FM2+ 95W AD765KXBJASBX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a8-series-a8-7650k/p/N82E16819113406
AMD Athlon X4 870k with AMD quiet cooler Quad-Core Socket FM2+ 95W AD870KXBJCSBX Desktop Processor,https://www.newegg.com/amd-athlon-x4-870k/p/N82E16819113409
AMD Sempron 3850 Kabini Quad-Core 1.3 GHz Socket AM1 25W SD3850JAHMBOX Desktop Processor AMD Radeon HD 8280,https://www.newegg.com/amd-sempron-3850/p/N82E16819113366
AMD Phenom II X3 720 Triple-Core 2.8 GHz Socket AM3 95W HDZ720WFGIBOX Black Processor,https://www.newegg.com/amd-phenom-ii-x3-720/p/N82E16819103649
AMD Athlon 64 X2 5200 Brisbane Dual-Core 2.7 GHz Socket AM2 65W ADO5200DOBOX Processor,https://www.newegg.com/amd-athlon-64-x2-5200/p/N82E16819103210
AMD K6-2 Chomper 500 MHz Socket 7 K62500AFX-N Processor,https://www.newegg.com/amd-k6-2/p/N82E16819103166
AMD Athlon II X3 435 Rana Triple-Core 2.9 GHz Socket AM3 95W ADX435WFGIBOX Processor,https://www.newegg.com/amd-athlon-ii-x3-435/p/N82E16819103724
AMD Athlon 64 X2 5200+ Windsor Dual-Core 2.6 GHz Socket AM2 ADA5200IAA6CS Processor,https://www.newegg.com/amd-athlon-64-x2-5200/p/N82E16819103758
AMD Athlon II X2 220 Regor Dual-Core 2.8 GHz Socket AM3 65W ADX220OCK22GM Desktop Processor,https://www.newegg.com/amd-athlon-ii-x2-220/p/N82E16819103884
Intel Pentium 4 3.0E Prescott Single-Core 3.0 GHz Socket 478 89W BX80546PG3000E Processor,https://www.newegg.com/intel-pentium-4-3-0e/p/N82E16819116171
Intel Pentium 4 2.4A Prescott Single-Core 2.4 GHz Socket 478 BX80546PE2400E Processor,https://www.newegg.com/intel-pentium-4-2-4a/p/N82E16819116178
Intel Pentium 4 2.8 Northwood Single-Core 2.8 GHz Socket 478 68.4W RK80532PE072512 Processor,https://www.newegg.com/intel-pentium-4-2-8/p/N82E16819116215
AMD A8-7600 Kaveri Quad-Core 3.1 GHz Socket FM2+ 65W AD7600YBJABOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a8-series-a8-7600/p/N82E16819113371
AMD Athlon II X3 450 Rana Triple-Core 3.2 GHz Socket AM3 95W ADX450WFGMBOX Desktop Processor,https://www.newegg.com/amd-athlon-ii-x3-450/p/N82E16819103886
