 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,194.5,188.8,185,181.2,179.4,169.9,141.6,185,173.7,171.8,166.1,158.6,151,132.2
rtx 2080,158,153.4,150.3,147.3,145.7,138.1,115,150.3,141.1,139.6,135,128.9,122.7,107.4
gtx 1080 Ti,152.3,147.2,144.6,141.8,140,133.6,110.7,144.5,136.3,134.2,130.7,124.2,118.3,103.8
gtx Titan X,150.4,146,143.1,140.2,138.7,131.4,109.5,143.1,134.3,132.9,128.5,122.7,116.8,102.2
rtx 2070 super,148.9,144.5,141.7,138.8,137.3,130.1,108.4,141.7,133,131.5,127.2,121.4,115.6,101.2
rtx 2070,142.8,138.6,135.9,133.1,131.7,124.8,104,135.9,127.6,126.2,122,116.5,110.9,97.1
gtx 1080,141.7,138.2,134.4,132,131.3,123.7,103.3,134.4,126.7,124.8,121.3,115.7,109.7,96.1
rtx 2060 super,136.7,132.7,130.1,127.4,126.1,119.5,99.6,130.1,122.1,120.8,116.8,111.5,106.2,92.9
rtx 2060,132.2,128.3,125.8,123.2,121.9,115.5,96.2,125.8,118.1,116.8,112.9,107.8,102.7,89.8
gtx 1070 Ti,129.8,125.6,123.7,120.5,119.3,113.6,94.1,122.9,115.4,114.1,110.5,105.6,100.2,87.9
gtx 1070,119.4,115.3,113.2,111.3,109.2,104.2,86.8,112.7,106.5,104.7,101.2,97.3,92.3,81
gtx 1660 Ti,118.5,115,112.7,110.4,109.3,103.5,86.3,112.7,105.8,104.7,101.2,96.6,92,80.5
gtx 1660 super,117,113.6,111.3,109,107.9,102.2,85.2,111.3,104.5,103.3,99.9,95.4,90.9,79.5
gtx 980 Ti,117,113.6,111.3,109,107.9,102.2,85.2,111.3,104.5,103.3,99.9,95.4,90.9,79.5
gtx 1660,113.9,110.6,108.4,106.2,105.1,99.6,83,108.4,101.8,100.7,97.3,92.9,88.5,77.4
gtx 1060 6G,111.5,108.3,106.2,103.7,102.5,97.3,81,105.5,99.7,98,95.2,91,86.8,75.4
gtx 980,98.7,95.9,94,92,91.1,86.3,71.9,94,88.2,87.2,84.4,80.5,76.7,67.1
gtx 1060 3G,97.3,94.8,92.4,90.7,90.1,85.4,70.8,92.5,87.5,85.9,83.3,79.7,75.5,66.4
gtx 970,92.7,90,88.2,86.4,85.5,81,67.5,88.2,82.8,81.9,79.2,75.6,72,63
gtx 1050 Ti,69.9,68,66.6,65.5,64.7,61.5,51,66.5,62.5,61.7,59.7,57.1,54.5,47.5
gtx 1050,62.3,60.5,59.4,58.2,57.5,54.5,45.5,59.3,55.8,55,53.3,51.1,48.5,42.4
rx 5700 xt,138.2,134.2,131.5,128.9,127.5,120.8,100.7,131.5,123.5,122.1,118.1,112.7,107.4,94
rx 5700,133.7,129.8,127.2,124.6,123.3,116.8,97.3,127.2,119.4,118.1,114.2,109,103.8,90.9
RX Vega 64,130.7,126.8,124.3,121.8,120.5,114.2,95.1,124.3,116.7,115.4,111.6,106.5,101.5,88.8
rx 590,112.4,109.1,107,104.8,103.7,98.2,81.9,107,100.4,99.3,96,91.7,87.3,76.4
RX 580,80.4,78.5,76.6,75.6,74.8,70.3,58.9,76.6,72.3,71.1,69.2,65.8,62.6,55.1
RX 480,77.7,75.6,73.9,72.3,71.6,68.2,56.7,73.7,69.3,68.5,66.4,63.4,60.4,52.8
RX 570,73.3,71,69.6,68.1,67.2,63.8,53.4,69.4,65.3,64.4,62.6,59.6,56.6,49.7
