 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,182.6,177.3,173.8,170.2,168.4,159.6,133,173.8,163.1,161.4,156,148.9,141.8,124.1
rtx 2080,148.4,144.1,141.2,138.3,136.9,129.7,108,141.2,132.5,131.1,126.8,121,115.3,100.8
gtx 1080 Ti,142.7,138,135.8,133,131.6,124.7,103.9,135.8,127.4,126.1,121.9,116.4,110.8,97
gtx Titan X,141.3,137.1,134.4,131.7,130.3,123.4,102.9,134.4,126.2,124.8,120.7,115.2,109.7,96
rtx 2070 super,139.8,135.8,133,130.3,129,122.2,101.8,133,124.9,123.5,119.5,114,108.6,95
rtx 2070,134.1,130.2,127.6,125,123.7,117.2,97.7,127.6,119.8,118.5,114.6,109.4,104.2,91.1
gtx 1080,132.7,128.8,126.3,123.7,122.4,115.9,96.6,126.3,118.5,117.2,113.4,108.2,103.1,90.2
rtx 2060 super,128.4,124.7,122.2,119.7,118.4,112.2,93.5,122.2,114.7,113.5,109.7,104.7,99.7,87.3
rtx 2060,124.1,120.5,118.1,115.7,114.5,108.5,90.4,118.1,110.9,109.7,106.1,101.2,96.4,84.4
gtx 1070 Ti,121.3,117.7,115.4,113,111.9,106,88.3,115.4,108.3,107.1,103.6,98.9,94.2,82.4
gtx 1070,111.3,108,105.9,103.7,102.6,97.2,81,105.9,99.4,98.3,95.1,90.8,86.4,75.6
gtx 1660 Ti,111.3,108,105.9,103.7,102.6,97.2,81,105.9,99.4,98.3,95.1,90.8,86.4,75.6
gtx 1660 super,109.9,106.7,104.5,102.4,101.3,96,80,104.5,98.1,97.1,93.9,89.6,85.3,74.7
gtx 980 Ti,109.9,106.7,104.5,102.4,101.3,96,80,104.5,98.1,97.1,93.9,89.6,85.3,74.7
gtx 1660,107,103.9,101.8,99.7,98.7,93.5,77.9,101.8,95.6,94.5,91.4,87.3,83.1,72.7
gtx 1060 6G,104.2,101.1,99.1,97.1,96.1,91,75.8,99.1,93,92,89,84.9,80.9,70.8
gtx 980,92.7,90,88.2,86.4,85.5,81,67.5,88.2,82.8,81.9,79.2,75.6,72,63
gtx 1060 3G,91.3,88.7,86.9,85.1,84.2,79.8,66.5,86.9,81.6,80.7,78,74.5,70.9,62.1
gtx 970,87,84.5,82.8,81.1,80.3,76,63.4,82.8,77.7,76.9,74.4,71,67.6,59.1
gtx 1050 Ti,65.6,63.7,62.4,61.2,60.5,57.3,47.8,62.4,58.6,58,56.1,53.5,51,44.6
gtx 1050,58.5,56.8,55.7,54.5,54,51.1,42.6,55.7,52.3,51.7,50,47.7,45.4,39.8
rx 5700 xt,129.8,126.1,123.5,121,119.8,113.5,94.5,123.5,116,114.7,110.9,105.9,100.8,88.2
rx 5700,125.6,121.9,119.5,117,115.8,109.7,91.4,119.5,112.1,110.9,107.3,102.4,97.5,85.3
RX Vega 64,122.7,119.1,116.7,114.4,113.2,107.2,89.3,116.7,109.6,108.4,104.8,100.1,95.3,83.4
rx 590,105.6,102.5,100.5,98.4,97.4,92.3,76.9,100.5,94.3,93.3,90.2,86.1,82,71.8
RX 580,75.6,73.4,71.9,70.5,69.7,66.1,55.1,71.9,67.5,66.8,64.6,61.7,58.7,51.4
RX 480,72.8,70.6,69.2,67.8,67.1,63.6,53,69.2,65,64.3,62.2,59.3,56.5,49.5
RX 570,68.5,66.5,65.2,63.8,63.2,59.8,49.9,65.2,61.2,60.5,58.5,55.9,53.2,46.5
