 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,121.7,118.2,115.8,113.5,112.3,106.4,88.6,115.8,108.7,107.5,104,99.3,94.5,82.7
rtx 2080,98.9,96,94.1,92.2,91.2,86.4,72,94.1,88.3,87.4,84.5,80.7,76.8,67.2
gtx 1080 Ti,95.1,92,90.5,88.6,87.7,83.1,69.2,90.5,84.9,84,81.3,77.6,73.9,64.6
gtx Titan X,94.2,91.4,89.6,87.8,86.8,82.3,68.6,89.6,84.1,83.2,80.4,76.8,73.1,64
rtx 2070 super,93.2,90.5,88.7,86.9,86,81.4,67.9,88.7,83.2,82.3,79.6,76,72.4,63.3
rtx 2070,89.4,86.8,85.1,83.3,82.5,78.1,65.1,85.1,79.8,79,76.4,72.9,69.4,60.8
gtx 1080,88.4,85.9,84.2,82.4,81.6,77.3,64.4,84.2,79,78.1,75.6,72.1,68.7,60.1
rtx 2060 super,85.6,83.1,81.4,79.8,78.9,74.8,62.3,81.4,76.5,75.6,73.1,69.8,66.5,58.2
rtx 2060,82.7,80.3,78.7,77.1,76.3,72.3,60.2,78.7,73.9,73.1,70.7,67.5,64.3,56.2
gtx 1070 Ti,80.8,78.5,76.9,75.3,74.6,70.6,58.9,76.9,72.2,71.4,69.1,65.9,62.8,54.9
gtx 1070,74.2,72,70.6,69.1,68.4,64.8,54,70.6,66.3,65.5,63.4,60.5,57.6,50.4
gtx 1660 Ti,74.2,72,70.6,69.1,68.4,64.8,54,70.6,66.3,65.5,63.4,60.5,57.6,50.4
gtx 1660 super,73.2,71.1,69.7,68.3,67.5,64,53.3,69.7,65.4,64.7,62.6,59.7,56.9,49.8
gtx 980 Ti,73.2,71.1,69.7,68.3,67.5,64,53.3,69.7,65.4,64.7,62.6,59.7,56.9,49.8
gtx 1660,71.3,69.2,67.9,66.5,65.8,62.3,51.9,67.9,63.7,63,60.9,58.2,55.4,48.5
gtx 1060 6G,69.4,67.4,66.1,64.7,64,60.7,50.6,66.1,62,61.3,59.3,56.6,53.9,47.2
gtx 980,61.8,60,58.8,57.6,57,54,45,58.8,55.2,54.6,52.8,50.4,48,42
gtx 1060 3G,60.9,59.1,57.9,56.7,56.1,53.2,44.3,57.9,54.4,53.8,52,49.6,47.3,41.4
gtx 970,58,56.3,55.2,54.1,53.5,50.7,42.2,55.2,51.8,51.3,49.6,47.3,45.1,39.4
gtx 1050 Ti,43.7,42.5,41.6,40.8,40.3,38.2,31.9,41.6,39.1,38.6,37.4,35.7,34,29.7
gtx 1050,39,37.9,37.1,36.3,36,34.1,28.4,37.1,34.8,34.4,33.3,31.8,30.3,26.5
rx 5700 xt,86.5,84,82.3,80.7,79.8,75.6,63,82.3,77.3,76.5,73.9,70.6,67.2,58.8
rx 5700,83.7,81.3,79.6,78,77.2,73.1,60.9,79.6,74.8,73.9,71.5,68.3,65,56.9
RX Vega 64,81.8,79.4,77.8,76.2,75.4,71.5,59.6,77.8,73.1,72.3,69.9,66.7,63.5,55.6
rx 590,70.4,68.3,67,65.6,64.9,61.5,51.2,67,62.9,62.2,60.1,57.4,54.7,47.8
RX 580,50.4,48.9,48,47,46.5,44,36.7,48,45,44.5,43.1,41.1,39.1,34.3
RX 480,48.5,47.1,46.1,45.2,44.7,42.4,35.3,46.1,43.3,42.9,41.4,39.6,37.7,33
RX 570,45.6,44.3,43.4,42.5,42.1,39.9,33.2,43.4,40.8,40.3,39,37.2,35.5,31
