 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,200.9,195.1,191.2,187.3,185.3,175.6,146.3,191.2,179.5,177.5,171.7,163.9,156.1,136.5
rtx 2080,163.2,158.5,155.3,152.2,150.6,142.6,118.9,155.3,145.8,144.2,139.5,133.1,126.8,110.9
gtx 1080 Ti,157.1,152,149.3,146.8,144.7,138,114.2,149.3,140,138.7,134.3,128.5,122.6,107.3
gtx Titan X,155.4,150.9,147.9,144.8,143.3,135.8,113.2,147.9,138.8,137.3,132.8,126.7,120.7,105.6
rtx 2070 super,153.8,149.3,146.4,143.4,141.9,134.4,112,146.4,137.4,135.9,131.4,125.5,119.5,104.5
rtx 2070,147.5,143.3,140.4,137.5,136.1,128.9,107.4,140.4,131.8,130.4,126.1,120.3,114.6,100.3
gtx 1080,146.4,142,139.1,136.8,135.2,127.8,106.5,138.9,130.6,129,124.8,119.6,113.9,99.9
rtx 2060 super,141.3,137.2,134.4,131.7,130.3,123.4,102.9,134.4,126.2,124.8,120.7,115.2,109.7,96
rtx 2060,136.6,132.6,129.9,127.3,126,119.3,99.4,129.9,122,120.7,116.7,111.4,106.1,92.8
gtx 1070 Ti,133.6,130.5,127.6,124.2,122.9,117.4,97.3,126.9,119.8,117.9,114,109.1,104.1,90.9
gtx 1070,123.1,119.1,116.6,114.2,112.9,107.7,89.5,116.5,109.8,108.2,104.7,100.4,95.6,83.7
gtx 1660 Ti,122.4,118.9,116.5,114.1,112.9,107,89.2,116.5,109.4,108.2,104.6,99.8,95.1,83.2
gtx 1660 super,120.9,117.3,115,112.7,111.5,105.6,88,115,108,106.8,103.3,98.6,93.9,82.1
gtx 980 Ti,120.9,117.3,115,112.7,111.5,105.6,88,115,108,106.8,103.3,98.6,93.9,82.1
gtx 1660,117.7,114.3,112,109.7,108.6,102.9,85.7,112,105.2,104,100.6,96,91.4,80
gtx 1060 6G,114.6,111.6,109.8,106.7,105.5,100.3,83.7,109,102.6,101.2,98.5,93.7,89.1,77.8
gtx 980,102,99.1,97.1,95.1,94.1,89.2,74.3,97.1,91.1,90.1,87.2,83.2,79.2,69.3
gtx 1060 3G,100.8,98.2,95.5,94.3,93,87.8,73.7,95.6,89.8,88.8,86.3,81.9,78.1,68.5
gtx 970,95.7,93,91.1,89.2,88.3,83.7,69.7,91.1,85.5,84.6,81.8,78.1,74.4,65.1
gtx 1050 Ti,72.2,70.4,68.9,67.5,67,63.4,52.9,68.7,64.9,63.8,61.9,59,56.1,49
gtx 1050,64.7,62.8,61.7,60.3,59.6,56.6,46.9,61.2,57.7,56.9,55,52.8,50,43.8
rx 5700 xt,142.8,138.7,135.9,133.1,131.7,124.8,104,135.9,127.6,126.2,122,116.5,110.9,97.1
rx 5700,138.1,134.1,131.4,128.7,127.4,120.7,100.6,131.4,123.4,122,118,112.7,107.3,93.9
RX Vega 64,135,131.1,128.4,125.8,124.5,118,98.3,128.4,120.6,119.3,115.3,110.1,104.8,91.7
rx 590,116.2,112.8,110.5,108.3,107.1,101.5,84.6,110.5,103.8,102.6,99.2,94.7,90.2,78.9
RX 580,83.7,81.1,79.1,77.6,77.2,73,60.6,79.2,74.6,73.5,71.1,68.2,65,56.8
RX 480,80.3,77.8,76.1,75,74.1,70.3,58.6,76.2,71.4,70.7,68.3,65.7,62.3,54.3
RX 570,75.5,73.6,72.2,70.1,69.5,66,55,71.7,67.3,66.6,64.3,61.6,58.8,51.2
