 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,352.4,342.1,335.3,328.4,325,307.9,256.6,335.3,314.7,311.3,301,287.4,273.7,239.5
rtx 2080,286.3,278,272.4,266.8,264.1,250.2,208.5,272.4,255.7,252.9,244.6,233.5,222.4,194.6
gtx 1080 Ti,275.9,267,263,257,254.3,241.8,202.2,261.9,246.3,243.2,237.2,226.2,213.9,188.2
gtx Titan X,272.5,264.6,259.3,254,251.4,238.1,198.4,259.3,243.4,240.8,232.8,222.3,211.7,185.2
rtx 2070 super,269.8,261.9,256.7,251.4,248.8,235.7,196.4,256.7,241,238.3,230.5,220,209.5,183.3
rtx 2070,258.8,251.2,246.2,241.2,238.7,226.1,188.4,246.2,231.1,228.6,221.1,211,201,175.9
gtx 1080,257.3,250.6,244.1,240.1,237.1,223.7,186.7,243.6,229.6,226.2,220.3,210.4,200.5,174.1
rtx 2060 super,247.8,240.5,235.7,230.9,228.5,216.5,180.4,235.7,221.3,218.9,211.7,202.1,192.4,168.4
rtx 2060,239.5,232.5,227.9,223.2,220.9,209.3,174.4,227.9,213.9,211.6,204.6,195.3,186,162.8
gtx 1070 Ti,234.2,227.7,223.9,219,216.1,206.3,171.1,222.6,209.1,206.7,201.2,192.4,183,160.1
gtx 1070,216.6,208.7,205.7,200.8,198.8,188.8,156.9,204.3,192.8,189.7,183.7,175.2,166.8,146
gtx 1660 Ti,214.7,208.5,204.3,200.1,198,187.6,156.4,204.3,191.8,189.7,183.5,175.1,166.8,145.9
gtx 1660 super,212,205.8,201.7,197.6,195.5,185.2,154.3,201.7,189.3,187.3,181.1,172.9,164.6,144.1
gtx 980 Ti,212,205.8,201.7,197.6,195.5,185.2,154.3,201.7,189.3,187.3,181.1,172.9,164.6,144.1
gtx 1660,206.5,200.5,196.4,192.4,190.4,180.4,150.3,196.4,184.4,182.4,176.4,168.4,160.4,140.3
gtx 1060 6G,202.7,196.8,192.4,187.7,187,176.8,146.7,191.2,180,177.5,172.5,164.1,157.4,137.8
gtx 980,178.9,173.7,170.2,166.8,165,156.4,130.3,170.2,159.8,158.1,152.9,145.9,139,121.6
gtx 1060 3G,176.3,171.6,168.8,164.6,163.3,155.3,128.5,167.6,157.4,155.7,150.9,144.4,137.3,120.8
gtx 970,167.9,163,159.8,156.5,154.9,146.7,122.3,159.8,150,148.4,143.5,136.9,130.4,114.1
gtx 1050 Ti,127.6,123.5,121.3,119.1,116.8,111.3,92.6,120.5,113.2,111.9,108.6,103.4,99.1,86.3
gtx 1050,113.1,109.9,107.5,105.4,104.6,98.7,82.8,107.4,101.4,99.7,96.8,92.8,87.8,77
rx 5700 xt,250.5,243.2,238.3,233.5,231.1,218.9,182.4,238.3,223.8,221.3,214,204.3,194.6,170.2
rx 5700,242.3,235.2,230.5,225.8,223.4,211.7,176.4,230.5,216.4,214,207,197.6,188.2,164.6
RX Vega 64,236.7,229.8,225.3,220.7,218.4,206.9,172.4,225.3,211.5,209.2,202.3,193.1,183.9,160.9
rx 590,203.7,197.8,193.8,189.9,187.9,178,148.3,193.8,182,180,174,166.1,158.2,138.4
RX 580,146.1,141.8,139.5,136.9,135.2,127.7,107.1,138.8,131.4,128.9,125.7,119.1,114.1,99.9
RX 480,140.5,137.4,134.3,131.4,129.5,123.3,102.9,133.6,126.2,124,120.6,114.5,109.9,96.2
RX 570,133.3,128.8,126.8,123.6,123,115.9,96.4,125.7,118.7,116.7,113.5,108.7,103.3,89.9
