 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,120,116.5,114.2,111.9,110.7,104.9,87.4,114.2,107.2,106.1,102.6,97.9,93.2,81.6
rtx 2080,97.5,94.7,92.8,90.9,90,85.2,71,92.8,87.1,86.2,83.3,79.5,75.8,66.3
gtx 1080 Ti,94.6,91,89.8,87.6,86.8,82.2,68.6,89.2,84.1,82.9,80.5,77,73.5,64.3
gtx Titan X,92.8,90.1,88.3,86.5,85.6,81.1,67.6,88.3,82.9,82,79.3,75.7,72.1,63.1
rtx 2070 super,91.9,89.2,87.4,85.7,84.8,80.3,66.9,87.4,82.1,81.2,78.5,75,71.4,62.5
rtx 2070,88.2,85.6,83.9,82.2,81.3,77,64.2,83.9,78.7,77.9,75.3,71.9,68.5,59.9
gtx 1080,87.9,85.2,83.2,81.4,81.1,76.3,63.6,83,78,77.1,74.7,71.6,67.9,59.8
rtx 2060 super,84.4,81.9,80.3,78.7,77.9,73.8,61.5,80.3,75.4,74.6,72.1,68.8,65.6,57.4
rtx 2060,81.6,79.2,77.6,76,75.3,71.3,59.4,77.6,72.9,72.1,69.7,66.5,63.4,55.5
gtx 1070 Ti,80.1,78.1,76,74.4,74,70.1,58.5,75.8,71.5,70.4,68.5,65.1,62.4,54.2
gtx 1070,73.2,71.2,69.7,68.7,67.7,64.3,53.7,69.6,65.7,64.6,62.8,59.9,56.9,49.8
gtx 1660 Ti,73.2,71,69.6,68.2,67.5,63.9,53.3,69.6,65.3,64.6,62.5,59.7,56.8,49.7
gtx 1660 super,72.2,70.1,68.7,67.3,66.6,63.1,52.6,68.7,64.5,63.8,61.7,58.9,56.1,49.1
gtx 980 Ti,72.2,70.1,68.7,67.3,66.6,63.1,52.6,68.7,64.5,63.8,61.7,58.9,56.1,49.1
gtx 1660,70.3,68.3,66.9,65.6,64.9,61.5,51.2,66.9,62.8,62.1,60.1,57.4,54.6,47.8
gtx 1060 6G,69,66.8,65.4,63.9,63.6,60.3,50,65.1,61.7,60.5,59,55.9,53.6,46.7
gtx 980,61,59.2,58,56.8,56.2,53.3,44.4,58,54.5,53.9,52.1,49.7,47.3,41.4
gtx 1060 3G,60.5,58.4,57.2,56.4,55.7,52.8,43.9,57.1,54,53,51.4,49.3,47,40.8
gtx 970,57.2,55.5,54.4,53.3,52.8,50,41.7,54.4,51.1,50.5,48.9,46.7,44.4,38.9
gtx 1050 Ti,43.2,42.1,41.1,40.3,40.1,37.9,31.5,41,38.8,38.1,37.1,35.3,33.6,29.5
gtx 1050,38.7,37.5,36.8,35.9,35.8,33.8,28.2,36.6,34.7,34,33,31.5,30.1,26.2
rx 5700 xt,85.3,82.9,81.2,79.5,78.7,74.6,62.1,81.2,76.2,75.4,72.9,69.6,66.3,58
rx 5700,82.5,80.1,78.5,76.9,76.1,72.1,60.1,78.5,73.7,72.9,70.5,67.3,64.1,56.1
RX Vega 64,80.7,78.3,76.7,75.2,74.4,70.5,58.7,76.7,72,71.3,68.9,65.8,62.6,54.8
rx 590,69.4,67.4,66,64.7,64,60.6,50.5,66,62,61.3,59.3,56.6,53.9,47.2
RX 580,50,48.7,47.6,46.4,46.1,43.7,36.4,47.3,44.4,43.9,42.6,40.9,38.8,33.8
RX 480,47.9,46.5,45.9,44.8,44.5,41.9,34.9,45.5,43.1,42.3,41.2,39.3,37.4,32.6
RX 570,45,43.8,43.2,42.3,41.6,39.5,32.8,42.8,40.3,39.8,38.6,36.8,35,30.8
