 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,133.5,129.6,127,124.5,123.2,116.7,97.2,127,119.3,118,114.1,108.9,103.7,90.7
rtx 2080,108.5,105.3,103.2,101.1,100.1,94.8,79,103.2,96.9,95.9,92.7,88.5,84.3,73.7
gtx 1080 Ti,104.3,101,99.3,97.2,96.2,91.2,76,99.3,93.2,92.2,89.1,85.1,81,70.9
gtx Titan X,103.3,100.3,98.3,96.3,95.3,90.2,75.2,98.3,92.2,91.2,88.2,84.2,80.2,70.2
rtx 2070 super,102.2,99.3,97.3,95.3,94.3,89.3,74.4,97.3,91.3,90.3,87.3,83.4,79.4,69.5
rtx 2070,98.1,95.2,93.3,91.4,90.4,85.7,71.4,93.3,87.6,86.6,83.8,80,76.2,66.6
gtx 1080,97,94.2,92.3,90.4,89.5,84.8,70.6,92.3,86.7,85.7,82.9,79.1,75.4,65.9
rtx 2060 super,93.9,91.2,89.3,87.5,86.6,82,68.4,89.3,83.9,83,80.2,76.6,72.9,63.8
rtx 2060,90.8,88.1,86.4,84.6,83.7,79.3,66.1,86.4,81.1,80.2,77.5,74,70.5,61.7
gtx 1070 Ti,88.7,86.1,84.4,82.6,81.8,77.5,64.6,84.4,79.2,78.3,75.8,72.3,68.9,60.3
gtx 1070,81.4,79,77.4,75.8,75.1,71.1,59.3,77.4,72.7,71.9,69.5,66.4,63.2,55.3
gtx 1660 Ti,81.4,79,77.4,75.8,75.1,71.1,59.3,77.4,72.7,71.9,69.5,66.4,63.2,55.3
gtx 1660 super,80.3,78,76.4,74.9,74.1,70.2,58.5,76.4,71.7,71,68.6,65.5,62.4,54.6
gtx 980 Ti,80.3,78,76.4,74.9,74.1,70.2,58.5,76.4,71.7,71,68.6,65.5,62.4,54.6
gtx 1660,78.2,76,74.4,72.9,72.2,68.4,57,74.4,69.9,69.1,66.8,63.8,60.8,53.2
gtx 1060 6G,76.2,73.9,72.5,71,70.2,66.5,55.5,72.5,68,67.3,65.1,62.1,59.1,51.8
gtx 980,67.8,65.8,64.5,63.2,62.5,59.3,49.4,64.5,60.6,59.9,57.9,55.3,52.7,46.1
gtx 1060 3G,66.8,64.8,63.5,62.2,61.6,58.3,48.6,63.5,59.6,59,57,54.4,51.9,45.4
gtx 970,63.6,61.8,60.5,59.3,58.7,55.6,46.3,60.5,56.8,56.2,54.4,51.9,49.4,43.2
gtx 1050 Ti,48,46.6,45.7,44.7,44.3,41.9,34.9,45.7,42.9,42.4,41,39.1,37.3,32.6
gtx 1050,42.8,41.5,40.7,39.9,39.4,37.4,31.1,40.7,38.2,37.8,36.5,34.9,33.2,29.1
rx 5700 xt,94.9,92.2,90.3,88.5,87.6,83,69.1,90.3,84.8,83.9,81.1,77.4,73.7,64.5
rx 5700,91.8,89.1,87.3,85.6,84.7,80.2,66.8,87.3,82,81.1,78.4,74.9,71.3,62.4
RX Vega 64,89.7,87.1,85.4,83.6,82.7,78.4,65.3,85.4,80.1,79.3,76.7,73.2,69.7,61
rx 590,77.2,74.9,73.5,72,71.2,67.5,56.2,73.5,69,68.2,66,63,60,52.5
RX 580,55.3,53.7,52.6,51.5,51,48.3,40.3,52.6,49.4,48.8,47.2,45.1,42.9,37.6
RX 480,53.2,51.7,50.6,49.6,49.1,46.5,38.7,50.6,47.5,47,45.5,43.4,41.3,36.2
RX 570,50.1,48.6,47.6,46.7,46.2,43.8,36.5,47.6,44.7,44.2,42.8,40.8,38.9,34
