 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,145.7,141.4,138.6,135.8,134.3,127.3,106.1,138.6,130.1,128.7,124.4,118.8,113.1,99
rtx 2080,118.4,114.9,112.6,110.3,109.2,103.4,86.2,112.6,105.7,104.6,101.1,96.5,91.9,80.4
gtx 1080 Ti,113.8,110,108.3,106.1,105,99.4,82.9,108.3,101.6,100.5,97.2,92.8,88.4,77.3
gtx Titan X,112.7,109.4,107.2,105,103.9,98.4,82,107.2,100.6,99.5,96.3,91.9,87.5,76.6
rtx 2070 super,111.5,108.3,106.1,103.9,102.9,97.4,81.2,106.1,99.6,98.5,95.3,91,86.6,75.8
rtx 2070,107,103.9,101.8,99.7,98.7,93.5,77.9,101.8,95.5,94.5,91.4,87.2,83.1,72.7
gtx 1080,105.8,102.8,100.7,98.6,97.6,92.5,77.1,100.7,94.5,93.5,90.4,86.3,82.2,71.9
rtx 2060 super,102.4,99.4,97.4,95.5,94.5,89.5,74.6,97.4,91.5,90.5,87.5,83.5,79.5,69.6
rtx 2060,99,96.1,94.2,92.3,91.3,86.5,72.1,94.2,88.4,87.5,84.6,80.7,76.9,67.3
gtx 1070 Ti,96.7,93.9,92,90.2,89.2,84.5,70.4,92,86.4,85.5,82.6,78.9,75.1,65.7
gtx 1070,88.8,86.2,84.5,82.7,81.9,77.6,64.6,84.5,79.3,78.4,75.8,72.4,68.9,60.3
gtx 1660 Ti,88.8,86.2,84.5,82.7,81.9,77.6,64.6,84.5,79.3,78.4,75.8,72.4,68.9,60.3
gtx 1660 super,87.6,85.1,83.4,81.7,80.8,76.6,63.8,83.4,78.3,77.4,74.9,71.5,68.1,59.6
gtx 980 Ti,87.6,85.1,83.4,81.7,80.8,76.6,63.8,83.4,78.3,77.4,74.9,71.5,68.1,59.6
gtx 1660,85.3,82.9,81.2,79.5,78.7,74.6,62.1,81.2,76.2,75.4,72.9,69.6,66.3,58
gtx 1060 6G,83.1,80.7,79,77.4,76.6,72.6,60.5,79,74.2,73.4,71,67.7,64.5,56.5
gtx 980,74,71.8,70.4,68.9,68.2,64.6,53.9,70.4,66.1,65.4,63.2,60.3,57.5,50.3
gtx 1060 3G,72.8,70.7,69.3,67.9,67.2,63.6,53,69.3,65.1,64.3,62.2,59.4,56.6,49.5
gtx 970,69.4,67.4,66,64.7,64,60.7,50.5,66,62,61.3,59.3,56.6,53.9,47.2
gtx 1050 Ti,52.3,50.8,49.8,48.8,48.3,45.7,38.1,49.8,46.8,46.2,44.7,42.7,40.7,35.6
gtx 1050,46.7,45.3,44.4,43.5,43,40.8,34,44.4,41.7,41.2,39.9,38.1,36.2,31.7
rx 5700 xt,103.6,100.5,98.5,96.5,95.5,90.5,75.4,98.5,92.5,91.5,88.5,84.5,80.4,70.4
rx 5700,100.1,97.2,95.3,93.3,92.4,87.5,72.9,95.3,89.4,88.5,85.6,81.7,77.8,68.1
RX Vega 64,97.9,95,93.1,91.2,90.3,85.5,71.3,93.1,87.4,86.5,83.6,79.8,76,66.5
rx 590,84.2,81.8,80.1,78.5,77.7,73.6,61.3,80.1,75.2,74.4,71.9,68.7,65.4,57.2
RX 580,60.3,58.6,57.4,56.2,55.6,52.7,43.9,57.4,53.9,53.3,51.5,49.2,46.8,41
RX 480,58,56.3,55.2,54.1,53.5,50.7,42.3,55.2,51.8,51.3,49.6,47.3,45.1,39.4
RX 570,54.6,53,52,50.9,50.4,47.7,39.8,52,48.8,48.3,46.7,44.5,42.4,37.1
