 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,95.2,92.4,90.6,88.7,87.8,83.2,69.3,90.6,85,84.1,81.3,77.6,73.9,64.7
rtx 2080,77.4,75.1,73.6,72.1,71.3,67.6,56.3,73.6,69.1,68.3,66.1,63.1,60.1,52.6
gtx 1080 Ti,74.4,72,70.8,69.3,68.6,65,54.2,70.8,66.4,65.7,63.6,60.7,57.8,50.6
gtx Titan X,73.6,71.5,70.1,68.6,67.9,64.3,53.6,70.1,65.8,65.1,62.9,60.1,57.2,50
rtx 2070 super,72.9,70.8,69.4,67.9,67.2,63.7,53.1,69.4,65.1,64.4,62.3,59.4,56.6,49.5
rtx 2070,69.9,67.9,66.5,65.2,64.5,61.1,50.9,66.5,62.5,61.8,59.7,57,54.3,47.5
gtx 1080,69.2,67.2,65.8,64.5,63.8,60.4,50.4,65.8,61.8,61.1,59.1,56.4,53.7,47
rtx 2060 super,66.9,65,63.7,62.4,61.7,58.5,48.7,63.7,59.8,59.1,57.2,54.6,52,45.5
rtx 2060,64.7,62.8,61.6,60.3,59.7,56.5,47.1,61.6,57.8,57.2,55.3,52.8,50.3,44
gtx 1070 Ti,63.2,61.4,60.2,58.9,58.3,55.2,46,60.2,56.5,55.9,54,51.6,49.1,43
gtx 1070,58,56.3,55.2,54.1,53.5,50.7,42.2,55.2,51.8,51.3,49.6,47.3,45.1,39.4
gtx 1660 Ti,58,56.3,55.2,54.1,53.5,50.7,42.2,55.2,51.8,51.3,49.6,47.3,45.1,39.4
gtx 1660 super,57.3,55.6,54.5,53.4,52.8,50,41.7,54.5,51.2,50.6,48.9,46.7,44.5,38.9
gtx 980 Ti,57.3,55.6,54.5,53.4,52.8,50,41.7,54.5,51.2,50.6,48.9,46.7,44.5,38.9
gtx 1660,55.8,54.2,53.1,52,51.5,48.7,40.6,53.1,49.8,49.3,47.7,45.5,43.3,37.9
gtx 1060 6G,54.3,52.7,51.7,50.6,50.1,47.4,39.5,51.7,48.5,48,46.4,44.3,42.2,36.9
gtx 980,48.3,46.9,46,45.1,44.6,42.2,35.2,46,43.2,42.7,41.3,39.4,37.6,32.9
gtx 1060 3G,47.6,46.2,45.3,44.4,43.9,41.6,34.7,45.3,42.5,42.1,40.7,38.8,37,32.4
gtx 970,45.4,44.1,43.2,42.3,41.8,39.6,33,43.2,40.5,40.1,38.8,37,35.2,30.8
gtx 1050 Ti,34.2,33.2,32.6,31.9,31.6,29.9,24.9,32.6,30.6,30.2,29.2,27.9,26.6,23.3
gtx 1050,30.5,29.6,29,28.4,28.1,26.6,22.2,29,27.2,26.9,26.1,24.9,23.7,20.7
rx 5700 xt,67.7,65.7,64.4,63.1,62.4,59.1,49.3,64.4,60.5,59.8,57.8,55.2,52.6,46
rx 5700,65.5,63.6,62.3,61,60.4,57.2,47.7,62.3,58.5,57.8,55.9,53.4,50.8,44.5
RX Vega 64,64,62.1,60.9,59.6,59,55.9,46.6,60.9,57.1,56.5,54.7,52.2,49.7,43.5
rx 590,55,53.4,52.4,51.3,50.8,48.1,40.1,52.4,49.2,48.6,47,44.9,42.8,37.4
RX 580,39.4,38.3,37.5,36.7,36.4,34.4,28.7,37.5,35.2,34.8,33.7,32.2,30.6,26.8
RX 480,37.9,36.8,36.1,35.4,35,33.1,27.6,36.1,33.9,33.5,32.4,30.9,29.5,25.8
RX 570,35.7,34.7,34,33.3,32.9,31.2,26,34,31.9,31.5,30.5,29.1,27.7,24.3
