 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,172.7,167.7,164.4,161,159.3,150.9,125.8,164.4,154.3,152.6,147.6,140.9,134.2,117.4
rtx 2080,140.4,136.3,133.5,130.8,129.5,122.6,102.2,133.5,125.4,124,119.9,114.5,109,95.4
gtx 1080 Ti,135.4,131,128.9,126.2,125.5,118.3,98.6,128.4,121.3,119.2,116,110.2,105.8,92.6
gtx Titan X,133.6,129.7,127.1,124.5,123.2,116.7,97.3,127.1,119.3,118,114.2,109,103.8,90.8
rtx 2070 super,132.3,128.4,125.8,123.3,122,115.6,96.3,125.8,118.1,116.8,113,107.9,102.7,89.9
rtx 2070,126.9,123.2,120.7,118.2,117,110.8,92.4,120.7,113.3,112.1,108.4,103.5,98.5,86.2
gtx 1080,126.4,122.9,120.2,117.3,116.1,110,91.7,119.4,112.6,110.9,107.8,102.9,98.4,85.7
rtx 2060 super,121.5,117.9,115.6,113.2,112,106.1,88.4,115.6,108.5,107.3,103.8,99.1,94.3,82.5
rtx 2060,117.4,114,111.7,109.4,108.3,102.6,85.5,111.7,104.9,103.7,100.3,95.8,91.2,79.8
gtx 1070 Ti,114.9,111.6,109.9,107.6,105.9,101,83.9,109.1,102.7,101.3,98.1,94.4,89.7,78.4
gtx 1070,106.2,102.4,101.1,98.9,97.9,92.4,76.9,100.2,94.9,93,90.4,86.2,81.9,71.8
gtx 1660 Ti,105.3,102.2,100.2,98.1,97.1,92,76.7,100.2,94,93,89.9,85.8,81.8,71.5
gtx 1660 super,103.9,100.9,98.9,96.9,95.8,90.8,75.7,98.9,92.8,91.8,88.8,84.7,80.7,70.6
gtx 980 Ti,103.9,100.9,98.9,96.9,95.8,90.8,75.7,98.9,92.8,91.8,88.8,84.7,80.7,70.6
gtx 1660,101.2,98.3,96.3,94.3,93.4,88.4,73.7,96.3,90.4,89.4,86.5,82.5,78.6,68.8
gtx 1060 6G,98.9,96.1,94.5,92.2,91.7,86.9,72,93.7,88.6,87,84.3,80.7,77.2,67.6
gtx 980,87.7,85.2,83.5,81.8,80.9,76.7,63.9,83.5,78.4,77.5,74.9,71.5,68.1,59.6
gtx 1060 3G,86.6,84.6,82.5,80.7,80.4,75.7,63.3,82.2,77.8,76.3,74.4,70.8,67.2,59
gtx 970,82.3,79.9,78.3,76.7,75.9,71.9,59.9,78.3,73.5,72.7,70.3,67.1,63.9,55.9
gtx 1050 Ti,62.6,60.6,59.2,58,57.5,54.4,45.6,59.1,56,54.8,53.5,50.9,48.7,42.3
gtx 1050,55.8,54,53.1,52,51.1,48.6,40.6,52.6,49.7,48.9,47.4,45.2,43.4,37.8
rx 5700 xt,122.8,119.2,116.8,114.5,113.3,107.3,89.4,116.8,109.7,108.5,104.9,100.2,95.4,83.5
rx 5700,118.8,115.3,113,110.7,109.5,103.8,86.5,113,106.1,104.9,101.5,96.9,92.2,80.7
RX Vega 64,116.1,112.7,110.4,108.2,107,101.4,84.5,110.4,103.7,102.5,99.2,94.7,90.1,78.9
rx 590,99.9,97,95,93.1,92.1,87.3,72.7,95,89.2,88.2,85.3,81.4,77.6,67.9
RX 580,72,69.5,68.5,67,66.1,62.8,52.2,68.1,64.1,63.2,61.3,58.5,55.7,49.1
RX 480,69.1,66.9,66.1,64.4,63.9,60.4,50.5,65.5,61.9,60.8,58.9,56.2,53.6,47.1
RX 570,64.8,63.4,62.2,60.8,59.9,56.7,47.5,61.6,58.1,57.2,55.8,52.9,50.5,44.1
