 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,233.5,226.7,222.2,217.7,215.4,204.1,170.1,222.2,208.6,206.3,199.5,190.5,181.4,158.7
rtx 2080,189.8,184.2,180.5,176.9,175,165.8,138.2,180.5,169.5,167.6,162.1,154.8,147.4,129
gtx 1080 Ti,183.1,177,174.1,171.2,168.9,160.2,133.3,173.6,163.8,161.2,156.5,149.5,142.4,124.5
gtx Titan X,180.6,175.4,171.9,168.4,166.6,157.8,131.5,171.9,161.3,159.6,154.3,147.3,140.3,122.8
rtx 2070 super,178.8,173.6,170.1,166.7,164.9,156.2,130.2,170.1,159.7,158,152.8,145.8,138.9,121.5
rtx 2070,171.5,166.5,163.2,159.9,158.2,149.9,124.9,163.2,153.2,151.5,146.5,139.9,133.2,116.6
gtx 1080,170.3,165.4,162.2,159.6,157.3,148.9,124.5,161.4,152.4,149.9,145.9,139.6,133,115.7
rtx 2060 super,164.2,159.4,156.2,153.1,151.5,143.5,119.6,156.2,146.7,145.1,140.3,133.9,127.5,111.6
rtx 2060,158.7,154.1,151,147.9,146.4,138.7,115.6,151,141.8,140.2,135.6,129.5,123.3,107.9
gtx 1070 Ti,155.6,151.1,148.3,145.5,143.9,136.3,113.2,147.6,139.2,137,133.1,126.9,120.9,105.6
gtx 1070,143.5,139.4,135.4,133.7,132.2,125.1,103.9,135.4,128.3,125.7,122.7,116.1,111,96.9
gtx 1660 Ti,142.3,138.2,135.4,132.6,131.3,124.4,103.6,135.4,127.1,125.7,121.6,116.1,110.5,96.7
gtx 1660 super,140.5,136.4,133.7,130.9,129.6,122.8,102.3,133.7,125.5,124.1,120,114.6,109.1,95.5
gtx 980 Ti,140.5,136.4,133.7,130.9,129.6,122.8,102.3,133.7,125.5,124.1,120,114.6,109.1,95.5
gtx 1660,136.8,132.9,130.2,127.5,126.2,119.6,99.6,130.2,122.2,120.9,116.9,111.6,106.3,93
gtx 1060 6G,133.6,129.5,127.3,124.2,123,116.6,97.7,126.7,119.1,117.7,114.5,108.9,103.7,91.2
gtx 980,118.6,115.1,112.8,110.5,109.4,103.6,86.4,112.8,105.9,104.8,101.3,96.7,92.1,80.6
gtx 1060 3G,117.5,114.1,111.3,109.6,108.4,102.2,85.4,111.1,104.9,103.2,100.3,95.5,91.5,79.4
gtx 970,111.3,108.1,105.9,103.7,102.7,97.3,81,105.9,99.4,98.3,95.1,90.8,86.4,75.6
gtx 1050 Ti,84.6,82.1,80.1,78.4,77.6,73.7,61.2,79.9,75.4,74.2,72,68.5,65.4,57.3
gtx 1050,75.2,72.8,71.7,70.1,69,65.7,54.7,71.2,67.3,66.1,64.2,61.5,58.5,51
rx 5700 xt,166,161.2,158,154.8,153.1,145.1,120.9,158,148.3,146.7,141.9,135.4,129,112.8
rx 5700,160.6,155.9,152.8,149.6,148.1,140.3,116.9,152.8,143.4,141.9,137.2,130.9,124.7,109.1
RX Vega 64,156.9,152.3,149.3,146.2,144.7,137.1,114.3,149.3,140.2,138.6,134.1,128,121.9,106.6
rx 590,135,131.1,128.5,125.8,124.5,118,98.3,128.5,120.6,119.3,115.4,110.1,104.9,91.8
RX 580,96.9,94.7,92.1,90.2,89.7,84.6,70.7,92,86.9,85.4,82.8,79.3,75.8,65.8
RX 480,93.9,91,89.1,86.8,86.3,81.6,68.2,88.5,83.5,82.2,79.9,76.4,72.5,63.5
RX 570,88,85.5,84,82.3,81.1,77.2,64.3,83.3,78.3,77.4,75,71.5,68.2,60
