 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,151.9,147.5,144.6,141.6,140.1,132.8,110.6,144.6,135.7,134.2,129.8,123.9,118,103.3
rtx 2080,123.5,119.9,117.5,115.1,113.9,107.9,89.9,117.5,110.3,109.1,105.5,100.7,95.9,83.9
gtx 1080 Ti,119,115,113.8,110.9,109.7,104.2,86.7,112.9,106.6,104.9,101.9,96.9,92.6,81.3
gtx Titan X,117.5,114.1,111.8,109.5,108.4,102.7,85.6,111.8,105,103.8,100.4,95.8,91.3,79.9
rtx 2070 super,116.3,112.9,110.7,108.4,107.3,101.7,84.7,110.7,103.9,102.8,99.4,94.9,90.4,79.1
rtx 2070,111.6,108.3,106.2,104,102.9,97.5,81.3,106.2,99.7,98.6,95.3,91,86.7,75.8
gtx 1080,111,107.9,105,103,102.5,96.7,81,105,98.6,97.5,94.2,90,86.2,75.2
rtx 2060 super,106.8,103.7,101.7,99.6,98.5,93.4,77.8,101.7,95.4,94.4,91.3,87.1,83,72.6
rtx 2060,103.3,100.3,98.3,96.3,95.3,90.2,75.2,98.3,92.2,91.2,88.2,84.2,80.2,70.2
gtx 1070 Ti,100.9,98.5,96.1,94.5,93.8,88.3,73.6,96,90.2,89.1,86.8,82.7,78.4,69
gtx 1070,93.2,90.1,88.6,86.5,85.9,81.5,67.5,88.1,82.8,81.8,79.1,75.5,72,62.9
gtx 1660 Ti,92.6,89.9,88.1,86.3,85.4,80.9,67.4,88.1,82.7,81.8,79.1,75.5,71.9,62.9
gtx 1660 super,91.4,88.7,87,85.2,84.3,79.9,66.6,87,81.6,80.8,78.1,74.5,71,62.1
gtx 980 Ti,91.4,88.7,87,85.2,84.3,79.9,66.6,87,81.6,80.8,78.1,74.5,71,62.1
gtx 1660,89,86.4,84.7,83,82.1,77.8,64.8,84.7,79.5,78.7,76.1,72.6,69.2,60.5
gtx 1060 6G,86.7,84.7,82.6,81.3,80,75.8,63.5,82.5,77.8,76.6,74.2,70.9,67.5,59
gtx 980,77.2,74.9,73.4,71.9,71.2,67.4,56.2,73.4,68.9,68.2,65.9,62.9,59.9,52.4
gtx 1060 3G,76.2,74.1,72.3,71.3,70,66.4,55.7,72.3,68,67.1,65.1,62.3,59.3,52
gtx 970,72.4,70.3,68.9,67.5,66.8,63.3,52.7,68.9,64.7,64,61.9,59.1,56.2,49.2
gtx 1050 Ti,54.9,53.1,52.3,50.9,50.6,48,39.9,52,48.9,48.2,46.8,44.7,42.6,37.1
gtx 1050,48.9,47.5,46.3,45.4,45.2,42.5,35.6,46.3,43.6,43,41.7,39.8,37.8,33.1
rx 5700 xt,108,104.9,102.8,100.7,99.6,94.4,78.7,102.8,96.5,95.4,92.3,88.1,83.9,73.4
rx 5700,104.5,101.4,99.4,97.4,96.4,91.3,76.1,99.4,93.3,92.3,89.3,85.2,81.1,71
RX Vega 64,102.1,99.1,97.1,95.2,94.2,89.2,74.3,97.1,91.2,90.2,87.2,83.3,79.3,69.4
rx 590,87.8,85.3,83.6,81.9,81,76.8,64,83.6,78.5,77.6,75.1,71.6,68.2,59.7
RX 580,62.9,61.1,60,58.7,58.1,55.4,46.1,59.9,56.3,55.6,54.1,51.7,48.8,42.9
RX 480,60.8,59.2,57.7,56.6,56,53,44.2,57.6,54.2,53.5,51.7,49.5,47.1,41.2
RX 570,57,55.5,54.6,53.4,53,50,41.6,54.2,50.8,50.3,48.9,46.7,44.4,38.9
