 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,183.5,178.2,174.6,171,169.3,160.4,133.6,174.6,163.9,162.1,156.8,149.7,142.5,124.7
rtx 2080,149.1,144.8,141.9,139,137.5,130.3,108.6,141.9,133.2,131.7,127.4,121.6,115.8,101.3
gtx 1080 Ti,143.8,139,136.9,134.1,132.2,125.3,104.4,136.4,128.7,126.7,122.5,117,112.2,97.6
gtx Titan X,141.9,137.8,135,132.3,130.9,124,103.4,135,126.8,125.4,121.3,115.8,110.2,96.5
rtx 2070 super,140.5,136.4,133.7,131,129.6,122.8,102.3,133.7,125.5,124.1,120,114.6,109.1,95.5
rtx 2070,134.8,130.8,128.2,125.6,124.3,117.8,98.1,128.2,120.4,119.1,115.1,109.9,104.7,91.6
gtx 1080,134.1,129.7,127.5,124.7,123.3,116.5,97.2,126.9,119.8,117.8,113.9,109.3,104.1,90.7
rtx 2060 super,129,125.3,122.8,120.3,119,112.7,94,122.8,115.3,114,110.2,105.2,100.2,87.7
rtx 2060,124.7,121.1,118.7,116.3,115,109,90.8,118.7,111.4,110.2,106.6,101.7,96.9,84.8
gtx 1070 Ti,122.5,119,116.7,113.6,113.2,107,89.5,115.9,109.4,107.7,104.5,99.8,95.2,83.2
gtx 1070,112.2,109.1,107.2,105.1,103.1,98.5,81.7,106.4,100.7,98.8,95.7,91.5,87.5,76.3
gtx 1660 Ti,111.8,108.6,106.4,104.2,103.1,97.7,81.4,106.4,99.9,98.8,95.5,91.2,86.9,76
gtx 1660 super,110.4,107.2,105,102.9,101.8,96.5,80.4,105,98.6,97.5,94.3,90,85.7,75
gtx 980 Ti,110.4,107.2,105,102.9,101.8,96.5,80.4,105,98.6,97.5,94.3,90,85.7,75
gtx 1660,107.5,104.4,102.3,100.2,99.2,94,78.3,102.3,96,95,91.9,87.7,83.5,73.1
gtx 1060 6G,105.4,102,99.7,97.9,96.8,91.7,76.3,99.6,93.6,92.5,89.7,85.5,81.9,71.4
gtx 980,93.2,90.5,88.7,86.9,86,81.4,67.9,88.7,83.2,82.3,79.6,76,72.4,63.3
gtx 1060 3G,92,89.7,87.8,85.6,85.3,80.2,67.2,87.3,82.3,81.1,78.8,75,71.5,62.6
gtx 970,87.5,84.9,83.2,81.5,80.7,76.4,63.7,83.2,78.1,77.3,74.7,71.3,67.9,59.4
gtx 1050 Ti,66.1,64.1,63,62,60.8,58,48.1,62.7,59,58.3,56.4,54.1,51.3,44.9
gtx 1050,59.1,57.1,56.2,54.8,54.4,51.7,43.1,55.9,52.7,51.9,50.5,48.1,45.7,40.1
rx 5700 xt,130.5,126.7,124.1,121.6,120.3,114,95,124.1,116.5,115.3,111.5,106.4,101.3,88.7
rx 5700,126.2,122.5,120,117.6,116.4,110.2,91.9,120,112.7,111.5,107.8,102.9,98,85.7
RX Vega 64,123.3,119.7,117.3,114.9,113.7,107.7,89.8,117.3,110.1,108.9,105.3,100.6,95.8,83.8
rx 590,106.1,103,100.9,98.9,97.9,92.7,77.3,100.9,94.8,93.7,90.6,86.5,82.4,72.1
RX 580,76.6,73.9,72.7,71.1,70.2,66.5,55.8,72.3,68,67.1,65,62.3,59.4,51.9
RX 480,73.1,71.3,69.6,68.7,67.9,64.2,53.5,69.6,65.6,64.6,62.5,59.9,57.2,49.9
RX 570,69.1,67.2,66,64.5,63.7,60.5,50.5,65.5,61.7,60.8,59.1,56.5,53.6,47
