 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,186.5,181.1,177.5,173.8,172,163,135.8,177.5,166.6,164.8,159.4,152.1,144.9,126.8
rtx 2080,151.6,147.1,144.2,141.3,139.8,132.4,110.4,144.2,135.4,133.9,129.5,123.6,117.7,103
gtx 1080 Ti,145.7,141,138.6,135.8,134.4,127.3,106.1,138.6,130.2,128.7,124.5,118.8,113.2,99
gtx Titan X,144.3,140.1,137.3,134.5,133.1,126.1,105,137.3,128.9,127.5,123.3,117.7,112.1,98
rtx 2070 super,142.8,138.6,135.9,133.1,131.7,124.8,104,135.9,127.6,126.2,122,116.5,110.9,97.1
rtx 2070,137,133,130.3,127.7,126.3,119.7,99.7,130.3,122.4,121,117,111.7,106.4,93.1
gtx 1080,135.5,131.6,128.9,126.3,125,118.4,98.7,128.9,121,119.7,115.8,110.5,105.3,92.1
rtx 2060 super,131.2,127.3,124.8,122.2,121,114.6,95.5,124.8,117.1,115.9,112.1,107,101.9,89.1
rtx 2060,126.8,123.1,120.6,118.2,116.9,110.8,92.3,120.6,113.2,112,108.3,103.4,98.5,86.2
gtx 1070 Ti,123.9,120.3,117.9,115.4,114.2,108.2,90.2,117.9,110.6,109.4,105.8,101,96.2,84.2
gtx 1070,113.7,110.4,108.1,105.9,104.8,99.3,82.8,108.1,101.5,100.4,97.1,92.7,88.3,77.2
gtx 1660 Ti,113.7,110.4,108.1,105.9,104.8,99.3,82.8,108.1,101.5,100.4,97.1,92.7,88.3,77.2
gtx 1660 super,112.2,108.9,106.8,104.6,103.5,98,81.7,106.8,100.2,99.1,95.9,91.5,87.2,76.3
gtx 980 Ti,112.2,108.9,106.8,104.6,103.5,98,81.7,106.8,100.2,99.1,95.9,91.5,87.2,76.3
gtx 1660,109.3,106.1,104,101.9,100.8,95.5,79.6,104,97.6,96.6,93.4,89.1,84.9,74.3
gtx 1060 6G,106.4,103.3,101.2,99.1,98.1,93,77.5,101.2,95,94,90.9,86.8,82.6,72.3
gtx 980,94.7,92,90.1,88.3,87.4,82.8,69,90.1,84.6,83.7,80.9,77.2,73.6,64.4
gtx 1060 3G,93.3,90.5,88.7,86.9,86,81.5,67.9,88.7,83.3,82.4,79.7,76.1,72.4,63.4
gtx 970,88.9,86.3,84.6,82.9,82,77.7,64.7,84.6,79.4,78.5,75.9,72.5,69,60.4
gtx 1050 Ti,67,65.1,63.8,62.5,61.8,58.6,48.8,63.8,59.9,59.2,57.3,54.7,52.1,45.6
gtx 1050,59.7,58,56.8,55.7,55.1,52.2,43.5,56.8,53.4,52.8,51,48.7,46.4,40.6
rx 5700 xt,132.6,128.7,126.2,123.6,122.3,115.9,96.6,126.2,118.4,117.2,113.3,108.1,103,90.1
rx 5700,128.2,124.5,122,119.5,118.3,112.1,93.4,122,114.5,113.3,109.6,104.6,99.6,87.2
RX Vega 64,125.3,121.7,119.2,116.8,115.6,109.5,91.3,119.2,111.9,110.7,107.1,102.2,97.3,85.2
rx 590,107.8,104.7,102.6,100.5,99.5,94.2,78.5,102.6,96.3,95.3,92.1,87.9,83.8,73.3
RX 580,77.2,75,73.5,72,71.2,67.5,56.2,73.5,69,68.2,66,63,60,52.5
RX 480,74.3,72.2,70.7,69.3,68.5,64.9,54.1,70.7,66.4,65.7,63.5,60.6,57.7,50.5
RX 570,69.9,67.9,66.6,65.2,64.5,61.1,50.9,66.6,62.5,61.8,59.8,57,54.3,47.5
