 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,318.5,309.2,303,296.9,293.8,278.3,231.9,303,284.5,281.4,272.1,259.7,247.4,216.5
rtx 2080,258.8,251.2,246.2,241.2,238.7,226.1,188.4,246.2,231.1,228.6,221.1,211,201,175.9
gtx 1080 Ti,250.7,241,237.5,233.6,231,217.7,181.7,236.7,222.9,219.8,213.8,203.8,193.9,169.9
gtx Titan X,246.3,239.2,234.4,229.6,227.2,215.2,179.4,234.4,220,217.6,210.5,200.9,191.3,167.4
rtx 2070 super,243.8,236.7,232,227.3,224.9,213.1,177.6,232,217.8,215.4,208.3,198.9,189.4,165.7
rtx 2070,233.9,227.1,222.5,218,215.7,204.4,170.3,222.5,208.9,206.6,199.8,190.8,181.7,159
gtx 1080,232.9,224.9,220.4,216.2,213.9,203.2,169.6,220.2,207.9,204.4,198.9,189.8,179.5,157.8
rtx 2060 super,223.9,217.4,213.1,208.7,206.5,195.7,163.1,213.1,200,197.9,191.3,182.6,173.9,152.2
rtx 2060,216.5,210.2,206,201.8,199.7,189.2,157.6,206,193.4,191.3,185,176.5,168.1,147.1
gtx 1070 Ti,212.9,205.4,202.5,198.2,196,185,154.3,201.2,190.1,186.9,181.2,173.3,164.5,143.9
gtx 1070,194.2,189.7,185.7,181.8,180,169.7,141.4,184.7,174.5,171.5,166.5,159.3,151.8,131.9
gtx 1660 Ti,194.1,188.4,184.7,180.9,179,169.6,141.3,184.7,173.4,171.5,165.8,158.3,150.7,131.9
gtx 1660 super,191.6,186,182.3,178.6,176.7,167.4,139.5,182.3,171.1,169.3,163.7,156.3,148.8,130.2
gtx 980 Ti,191.6,186,182.3,178.6,176.7,167.4,139.5,182.3,171.1,169.3,163.7,156.3,148.8,130.2
gtx 1660,186.6,181.2,177.6,173.9,172.1,163.1,135.9,177.6,166.7,164.9,159.4,152.2,144.9,126.8
gtx 1060 6G,182.3,177.7,173,169.3,167.7,158.8,132.8,172.8,162.4,160.5,155.4,148.2,141.5,124.3
gtx 980,161.7,157,153.9,150.7,149.2,141.3,117.8,153.9,144.5,142.9,138.2,131.9,125.6,109.9
gtx 1060 3G,160,154.7,151.9,149.4,147,139.5,116.5,151.5,142.1,140.7,136.3,130.3,124,109
gtx 970,151.8,147.4,144.4,141.5,140,132.6,110.5,144.4,135.6,134.1,129.7,123.8,117.9,103.2
gtx 1050 Ti,114.4,111.6,109.3,106.7,105.5,100.1,83.7,108.9,102.9,101.1,98.3,93.3,89.5,78.3
gtx 1050,102.1,99.6,97.7,95,94.8,89.7,74.6,97.1,91.5,90.1,87.5,83.5,79.8,69.5
rx 5700 xt,226.4,219.8,215.4,211,208.8,197.9,164.9,215.4,202.2,200.1,193.5,184.7,175.9,153.9
rx 5700,219,212.6,208.3,204.1,202,191.3,159.4,208.3,195.6,193.5,187.1,178.6,170.1,148.8
RX Vega 64,214,207.8,203.6,199.4,197.4,187,155.8,203.6,191.1,189.1,182.8,174.5,166.2,145.4
rx 590,184.1,178.8,175.2,171.6,169.8,160.9,134.1,175.2,164.5,162.7,157.3,150.2,143,125.1
RX 580,131.8,128.1,126,123.8,121.8,115.5,96.1,125.5,118.6,116.5,112.7,107.4,102.7,90
RX 480,127.8,123.8,121.3,118.8,117.3,111.7,93,120.7,113.5,112.1,108.6,104.1,98.9,86.7
RX 570,120,115.9,114.1,111.9,110.3,104.4,87.2,113.6,106.6,105.5,102.4,98.1,93,81.8
