 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,226.9,220.2,215.8,211.4,209.2,198.2,165.2,215.8,202.6,200.4,193.8,185,176.2,154.2
rtx 2080,184.3,179,175.4,171.8,170,161.1,134.2,175.4,164.6,162.8,157.5,150.3,143.2,125.3
gtx 1080 Ti,178.2,172,170.2,165.7,164.9,156.1,130.1,168.6,158.5,156.6,152.6,145.4,138.7,120.6
gtx Titan X,175.5,170.3,166.9,163.5,161.8,153.3,127.8,166.9,156.7,155,149.9,143.1,136.3,119.2
rtx 2070 super,173.7,168.6,165.3,161.9,160.2,151.8,126.5,165.3,155.1,153.5,148.4,141.6,134.9,118
rtx 2070,166.6,161.7,158.5,155.3,153.7,145.6,121.3,158.5,148.8,147.2,142.3,135.9,129.4,113.2
gtx 1080,166.4,161.2,158.3,154.1,152.8,144.9,120.1,156.8,147.3,145.6,141.1,135.3,128.4,112.1
rtx 2060 super,159.5,154.9,151.8,148.7,147.1,139.4,116.1,151.8,142.5,140.9,136.3,130.1,123.9,108.4
rtx 2060,154.2,149.7,146.7,143.7,142.2,134.7,112.3,146.7,137.7,136.2,131.7,125.7,119.8,104.8
gtx 1070 Ti,151.7,147.1,144.5,140.7,139.7,132,110.5,143.3,135.4,133.1,129.9,123.2,117.7,103
gtx 1070,138.5,135.5,132,129.5,127.8,121.8,100.8,131.5,123.8,122.1,119.1,113.1,107.8,94.5
gtx 1660 Ti,138.2,134.2,131.5,128.8,127.5,120.8,100.7,131.5,123.5,122.1,118.1,112.7,107.4,93.9
gtx 1660 super,136.5,132.5,129.8,127.2,125.9,119.2,99.4,129.8,121.9,120.6,116.6,111.3,106,92.7
gtx 980 Ti,136.5,132.5,129.8,127.2,125.9,119.2,99.4,129.8,121.9,120.6,116.6,111.3,106,92.7
gtx 1660,132.9,129.1,126.5,123.9,122.6,116.1,96.8,126.5,118.7,117.4,113.6,108.4,103.2,90.3
gtx 1060 6G,130,126.2,123.8,121.5,120,113.6,95.1,123.1,116.4,114.3,111.4,105.7,101,88.7
gtx 980,115.2,111.8,109.6,107.4,106.3,100.7,83.9,109.6,102.9,101.8,98.4,93.9,89.5,78.3
gtx 1060 3G,114.3,110.6,108.9,106.2,105.6,99.5,83.4,107.9,101.9,100.2,97.7,92.8,88.8,77.7
gtx 970,108.1,105,102.9,100.8,99.7,94.5,78.7,102.9,96.6,95.5,92.4,88.2,84,73.5
gtx 1050 Ti,81.9,79.6,78.1,76.2,75.5,71.6,59.7,77.6,73,72,69.8,66.6,63.6,55.8
gtx 1050,72.8,70.9,69.4,68.3,67.5,63.8,53.1,69.1,65,64.2,62.6,59.5,56.8,49.7
rx 5700 xt,161.3,156.6,153.5,150.3,148.8,140.9,117.4,153.5,144.1,142.5,137.8,131.5,125.3,109.6
rx 5700,156,151.4,148.4,145.4,143.8,136.3,113.6,148.4,139.3,137.8,133.3,127.2,121.1,106
RX Vega 64,152.4,148,145,142.1,140.6,133.2,111,145,136.1,134.7,130.2,124.3,118.4,103.6
rx 590,131.2,127.3,124.8,122.2,121,114.6,95.5,124.8,117.1,115.9,112.1,107,101.9,89.1
RX 580,94.1,92,89.5,87.8,87.3,82.2,68.8,89.4,84.7,83,80.8,77.3,73.6,64.1
RX 480,91.2,88.4,86.6,84.9,83.8,79.6,66,86,81.4,79.9,77.4,73.8,70.3,61.9
RX 570,85.5,83.2,81.3,79.6,78.9,74.6,62.1,80.9,76.7,75.2,72.8,69.7,66.5,58.1
