 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,223.7,217.2,212.9,208.5,206.4,195.5,162.9,212.9,199.9,197.7,191.2,182.5,173.8,152.1
rtx 2080,181.8,176.5,173,169.4,167.7,158.8,132.4,173,162.4,160.6,155.3,148.3,141.2,123.5
gtx 1080 Ti,174.8,169,166.3,162.9,161.2,152.7,127.3,166.3,156.1,154.4,149.3,142.6,135.8,118.8
gtx Titan X,173.1,168,164.7,161.3,159.6,151.2,126,164.7,154.6,152.9,147.9,141.1,134.4,117.6
rtx 2070 super,171.3,166.3,163,159.7,158,149.7,124.7,163,153,151.3,146.4,139.7,133.1,116.4
rtx 2070,164.3,159.5,156.3,153.1,151.6,143.6,119.6,156.3,146.8,145.2,140.4,134,127.6,111.7
gtx 1080,162.6,157.8,154.7,151.5,149.9,142,118.4,154.7,145.2,143.6,138.9,132.6,126.3,110.5
rtx 2060 super,157.3,152.7,149.7,146.6,145.1,137.5,114.6,149.7,140.5,139,134.4,128.3,122.2,106.9
rtx 2060,152.1,147.6,144.7,141.7,140.3,132.9,110.7,144.7,135.8,134.4,129.9,124,118.1,103.4
gtx 1070 Ti,148.6,144.3,141.4,138.5,137,129.8,108.2,141.4,132.7,131.3,126.9,121.2,115.4,101
gtx 1070,136.3,132.4,129.7,127.1,125.8,119.1,99.3,129.7,121.8,120.5,116.5,111.2,105.9,92.7
gtx 1660 Ti,136.3,132.4,129.7,127.1,125.8,119.1,99.3,129.7,121.8,120.5,116.5,111.2,105.9,92.7
gtx 1660 super,134.6,130.7,128.1,125.4,124.1,117.6,98,128.1,120.2,118.9,115,109.8,104.5,91.5
gtx 980 Ti,134.6,130.7,128.1,125.4,124.1,117.6,98,128.1,120.2,118.9,115,109.8,104.5,91.5
gtx 1660,131.1,127.3,124.7,122.2,120.9,114.6,95.5,124.7,117.1,115.8,112,106.9,101.8,89.1
gtx 1060 6G,127.6,123.9,121.4,118.9,117.7,111.5,92.9,121.4,114,112.7,109,104.1,99.1,86.7
gtx 980,113.6,110.3,108.1,105.9,104.8,99.3,82.7,108.1,101.5,100.4,97.1,92.7,88.2,77.2
gtx 1060 3G,111.9,108.6,106.4,104.3,103.2,97.8,81.5,106.4,99.9,98.8,95.6,91.2,86.9,76
gtx 970,106.6,103.5,101.5,99.4,98.3,93.2,77.6,101.5,95.2,94.2,91.1,87,82.8,72.5
gtx 1050 Ti,80.4,78.1,76.5,74.9,74.2,70.3,58.5,76.5,71.8,71,68.7,65.6,62.5,54.6
gtx 1050,71.7,69.6,68.2,66.8,66.1,62.6,52.2,68.2,64,63.3,61.2,58.4,55.7,48.7
rx 5700 xt,159.1,154.4,151.3,148.3,146.7,139,115.8,151.3,142.1,140.5,135.9,129.7,123.5,108.1
rx 5700,153.8,149.3,146.4,143.4,141.9,134.4,112,146.4,137.4,135.9,131.4,125.4,119.5,104.5
RX Vega 64,150.3,146,143,140.1,138.7,131.4,109.5,143,134.3,132.8,128.4,122.6,116.8,102.2
rx 590,129.4,125.6,123.1,120.6,119.3,113,94.2,123.1,115.5,114.3,110.5,105.5,100.5,87.9
RX 580,92.6,89.9,88.1,86.3,85.4,81,67.5,88.1,82.8,81.9,79.2,75.6,72,63
RX 480,89.1,86.6,84.8,83.1,82.2,77.9,64.9,84.8,79.6,78.8,76.2,72.7,69.2,60.6
RX 570,83.9,81.5,79.8,78.2,77.4,73.3,61.1,79.8,74.9,74.1,71.7,68.4,65.2,57
