 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,118.7,115.2,112.9,110.6,109.4,103.7,86.4,112.9,106,104.8,101.4,96.8,92.2,80.6
rtx 2080,96.4,93.6,91.7,89.9,88.9,84.2,70.2,91.7,86.1,85.2,82.4,78.6,74.9,65.5
gtx 1080 Ti,93,90,89,86.8,85.8,81.1,67.8,88.2,83.2,81.9,79.3,76.1,72.2,63.2
gtx Titan X,91.8,89.1,87.3,85.5,84.6,80.2,66.8,87.3,82,81.1,78.4,74.8,71.3,62.4
rtx 2070 super,90.8,88.2,86.4,84.7,83.8,79.4,66.2,86.4,81.1,80.3,77.6,74.1,70.6,61.7
rtx 2070,87.1,84.6,82.9,81.2,80.4,76.1,63.5,82.9,77.8,77,74.4,71.1,67.7,59.2
gtx 1080,86.8,84.5,82.4,80.7,80.2,75.9,63.3,82,77.3,76.2,74.3,70.6,67.1,58.9
rtx 2060 super,83.4,81,79.4,77.8,77,72.9,60.8,79.4,74.5,73.7,71.3,68,64.8,56.7
rtx 2060,80.6,78.3,76.7,75.2,74.4,70.5,58.7,76.7,72,71.3,68.9,65.8,62.6,54.8
gtx 1070 Ti,79.3,76.9,75.3,73.8,72.8,69.5,57.7,75,70.5,69.6,67.5,64.8,61.3,53.6
gtx 1070,72.7,70.3,69.3,67.9,67.2,63.6,52.9,68.8,64.7,63.9,62.1,59.2,56.7,49.3
gtx 1660 Ti,72.3,70.2,68.8,67.4,66.7,63.2,52.7,68.8,64.6,63.9,61.8,59,56.2,49.1
gtx 1660 super,71.4,69.3,67.9,66.5,65.8,62.4,52,67.9,63.8,63.1,61,58.2,55.4,48.5
gtx 980 Ti,71.4,69.3,67.9,66.5,65.8,62.4,52,67.9,63.8,63.1,61,58.2,55.4,48.5
gtx 1660,69.5,67.5,66.2,64.8,64.1,60.8,50.6,66.2,62.1,61.4,59.4,56.7,54,47.3
gtx 1060 6G,68.2,65.9,64.7,63.2,62.9,59.3,49.4,64.4,60.8,59.8,58,55.7,52.6,46.1
gtx 980,60.3,58.5,57.3,56.2,55.6,52.7,43.9,57.3,53.8,53.2,51.5,49.1,46.8,41
gtx 1060 3G,59.9,57.7,56.5,55.8,54.9,51.9,43.4,56.4,53.1,52.4,50.8,48.6,46.2,40.7
gtx 970,56.5,54.9,53.8,52.7,52.2,49.4,41.2,53.8,50.5,50,48.3,46.1,43.9,38.4
gtx 1050 Ti,42.9,41.6,40.8,39.9,39.6,37.5,31.1,40.6,38.2,37.7,36.7,35.1,33.2,29.1
gtx 1050,38.3,37.1,36.5,35.7,35.2,33.4,27.8,36.2,34.2,33.6,32.6,31.1,29.6,25.9
rx 5700 xt,84.4,81.9,80.3,78.6,77.8,73.7,61.4,80.3,75.3,74.5,72.1,68.8,65.5,57.3
rx 5700,81.6,79.2,77.6,76,75.2,71.3,59.4,77.6,72.9,72.1,69.7,66.5,63.4,55.4
RX Vega 64,79.7,77.4,75.9,74.3,73.5,69.7,58.1,75.9,71.2,70.4,68.1,65,61.9,54.2
rx 590,68.6,66.6,65.3,63.9,63.3,59.9,50,65.3,61.3,60.6,58.6,55.9,53.3,46.6
RX 580,49.2,47.8,47.2,46,45.7,43.2,36,46.7,44,43.4,42.1,40.5,38.4,33.4
RX 480,47.6,46.3,45.3,44.5,43.9,41.7,34.6,45,42.5,41.8,40.7,38.8,37,32.2
RX 570,44.9,43.4,42.5,41.7,41.4,39.2,32.6,42.3,39.9,39.3,38.1,36.6,34.7,30.3
