 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,140,135.9,133.2,130.5,129.1,122.3,101.9,133.2,125,123.7,119.6,114.2,108.7,95.1
rtx 2080,113.7,110.4,108.2,106,104.9,99.4,82.8,108.2,101.6,100.5,97.2,92.7,88.3,77.3
gtx 1080 Ti,110.2,106,104.9,102.1,101.1,95.6,79.8,104,98,96.6,93.8,89.6,85.4,74.9
gtx Titan X,108.3,105.1,103,100.9,99.9,94.6,78.8,103,96.7,95.6,92.5,88.3,84.1,73.6
rtx 2070 super,107.2,104,102,99.9,98.8,93.6,78,102,95.7,94.7,91.6,87.4,83.2,72.8
rtx 2070,102.8,99.8,97.8,95.8,94.8,89.8,74.8,97.8,91.8,90.8,87.8,83.8,79.8,69.9
gtx 1080,101.8,98.9,97,95.2,94.6,89.2,74.3,96.8,91.5,89.9,87.3,83.4,79,69.3
rtx 2060 super,98.4,95.6,93.6,91.7,90.8,86,71.7,93.6,87.9,87,84.1,80.3,76.4,66.9
rtx 2060,95.1,92.4,90.5,88.7,87.7,83.1,69.3,90.5,85,84.1,81.3,77.6,73.9,64.7
gtx 1070 Ti,93.2,90.9,89.1,86.6,86.1,81.7,67.8,88.4,83.6,82.1,79.6,76,72.2,63.7
gtx 1070,85.9,83.4,81.4,79.6,79,74.9,62.6,81.2,76.7,75.4,72.9,69.8,66.4,58.3
gtx 1660 Ti,85.3,82.8,81.2,79.5,78.7,74.5,62.1,81.2,76.2,75.4,72.9,69.6,66.2,58
gtx 1660 super,84.2,81.8,80.1,78.5,77.7,73.6,61.3,80.1,75.2,74.4,71.9,68.7,65.4,57.2
gtx 980 Ti,84.2,81.8,80.1,78.5,77.7,73.6,61.3,80.1,75.2,74.4,71.9,68.7,65.4,57.2
gtx 1660,82,79.6,78,76.4,75.6,71.7,59.7,78,73.3,72.5,70.1,66.9,63.7,55.7
gtx 1060 6G,80.4,77.6,76,75,74,69.7,58.6,76,71.6,70.5,68.2,65.2,62.1,54.3
gtx 980,71.1,69,67.6,66.2,65.6,62.1,51.8,67.6,63.5,62.8,60.7,58,55.2,48.3
gtx 1060 3G,70.1,68,66.6,65.5,64.6,61.2,51.4,66.6,62.9,61.8,59.9,57.5,54.4,47.9
gtx 970,66.7,64.8,63.5,62.2,61.5,58.3,48.6,63.5,59.6,58.9,57,54.4,51.8,45.3
gtx 1050 Ti,50.5,49.2,48.2,46.9,46.4,44,36.8,47.9,45.2,44.4,43,41.3,39.3,34.5
gtx 1050,45.1,43.8,43,41.8,41.4,39.3,32.9,42.7,40.2,39.6,38.4,36.6,35.1,30.7
rx 5700 xt,99.5,96.6,94.7,92.7,91.8,87,72.5,94.7,88.9,87.9,85,81.2,77.3,67.6
rx 5700,96.2,93.4,91.6,89.7,88.8,84.1,70.1,91.6,86,85,82.2,78.5,74.7,65.4
RX Vega 64,94,91.3,89.5,87.7,86.7,82.2,68.5,89.5,84,83.1,80.3,76.7,73,63.9
rx 590,80.9,78.6,77,75.4,74.6,70.7,58.9,77,72.3,71.5,69.1,66,62.9,55
RX 580,58.3,56.4,55.3,54.3,53.6,50.9,42.5,55.1,51.9,51.2,49.8,47.3,45,39.5
RX 480,56.1,54.2,53.2,52.3,51.5,48.7,40.9,53.1,50.2,49.3,47.7,45.8,43.6,37.9
RX 570,52.9,51,50.3,49.1,48.7,46.2,38.4,49.9,46.9,46.4,45.2,43,41,35.9
