 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,187.5,182.1,178.4,174.8,173,163.9,136.6,178.4,167.5,165.7,160.2,153,145.7,127.5
rtx 2080,152.4,147.9,145,142,140.5,133.2,111,145,136.1,134.6,130.2,124.3,118.4,103.6
gtx 1080 Ti,146.8,142,139.6,136.6,135.3,128.9,107.5,139.4,131.1,129.5,125.3,120.1,114.2,99.8
gtx Titan X,145.1,140.8,138,135.2,133.8,126.7,105.6,138,129.6,128.2,123.9,118.3,112.7,98.6
rtx 2070 super,143.6,139.4,136.6,133.8,132.4,125.5,104.6,136.6,128.3,126.9,122.7,117.1,111.5,97.6
rtx 2070,137.7,133.7,131,128.4,127,120.3,100.3,131,123,121.7,117.7,112.3,107,93.6
gtx 1080,136.3,133.2,130.4,126.9,126.4,120,99.4,129.7,122.5,120.4,116.7,111.7,106.6,92.6
rtx 2060 super,131.9,128,125.5,122.9,121.6,115.2,96,125.5,117.8,116.5,112.7,107.5,102.4,89.6
rtx 2060,127.5,123.8,121.3,118.8,117.6,111.4,92.8,121.3,113.9,112.6,108.9,104,99,86.6
gtx 1070 Ti,125.1,120.9,118.5,116.1,115.4,109.5,90.9,118.5,111.6,110,106.8,102.2,97,85.2
gtx 1070,114.4,111.7,109.1,107.1,105.5,100.4,83.5,108.7,102.8,101,98.1,93.4,88.9,77.7
gtx 1660 Ti,114.3,111,108.7,106.5,105.4,99.9,83.2,108.7,102.1,101,97.6,93.2,88.8,77.7
gtx 1660 super,112.8,109.5,107.3,105.2,104.1,98.6,82.2,107.3,100.8,99.7,96.4,92,87.6,76.7
gtx 980 Ti,112.8,109.5,107.3,105.2,104.1,98.6,82.2,107.3,100.8,99.7,96.4,92,87.6,76.7
gtx 1660,109.9,106.7,104.6,102.4,101.4,96,80,104.6,98.2,97.1,93.9,89.6,85.4,74.7
gtx 1060 6G,107.3,104,101.9,100.4,98.9,93.9,78.5,101.8,95.6,94.5,91.8,87.6,83.1,73
gtx 980,95.2,92.5,90.6,88.8,87.8,83.2,69.3,90.6,85.1,84.1,81.4,77.7,74,64.7
gtx 1060 3G,94.3,91.2,89.2,87.9,86.5,82.3,68.8,89.2,84,82.8,80.7,76.6,72.9,63.7
gtx 970,89.4,86.8,85,83.3,82.4,78.1,65.1,85,79.8,79,76.4,72.9,69.4,60.7
gtx 1050 Ti,67.4,65.6,64.5,63.3,62.3,59.2,49.2,64.1,60.6,59.5,57.7,55.1,52.6,45.9
gtx 1050,60.6,58.5,57.2,56.4,55.4,52.9,43.8,57.2,53.6,53.1,51.5,49.2,46.9,41.1
rx 5700 xt,133.3,129.5,126.9,124.3,123,116.5,97.1,126.9,119.1,117.8,113.9,108.7,103.6,90.6
rx 5700,128.9,125.2,122.7,120.2,118.9,112.7,93.9,122.7,115.2,113.9,110.2,105.2,100.1,87.6
RX Vega 64,126,122.3,119.9,117.4,116.2,110.1,91.8,119.9,112.6,111.3,107.7,102.8,97.9,85.6
rx 590,108.4,105.3,103.2,101.1,100,94.7,79,103.2,96.8,95.8,92.6,88.4,84.2,73.7
RX 580,77.8,75.4,74.4,72.7,71.8,68.4,56.7,73.9,69.3,68.6,66.6,63.4,60.8,53.1
RX 480,75.3,72.6,71.3,69.8,69,65.7,54.7,71.1,67.3,66,63.9,61,58,50.8
RX 570,70.3,68.5,67.2,65.9,65,61.6,51.6,66.9,63,62.1,60.5,57.5,54.9,48
