 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,213.1,206.9,202.8,198.6,196.6,186.2,155.2,202.8,190.4,188.3,182.1,173.8,165.5,144.8
rtx 2080,173.2,168.1,164.7,161.4,159.7,151.3,126.1,164.7,154.7,153,147.9,141.2,134.5,117.7
gtx 1080 Ti,166.5,161,158.4,155.2,153.6,145.5,121.2,158.4,148.7,147.1,142.2,135.8,129.3,113.2
gtx Titan X,164.8,160,156.8,153.6,152,144,120,156.8,147.2,145.6,140.8,134.4,128,112
rtx 2070 super,163.2,158.4,155.2,152.1,150.5,142.6,118.8,155.2,145.7,144.2,139.4,133.1,126.7,110.9
rtx 2070,156.5,151.9,148.9,145.9,144.3,136.8,114,148.9,139.8,138.3,133.7,127.6,121.6,106.4
gtx 1080,154.8,150.3,147.3,144.3,142.8,135.3,112.7,147.3,138.3,136.8,132.3,126.3,120.3,105.2
rtx 2060 super,149.8,145.5,142.6,139.7,138.2,130.9,109.1,142.6,133.8,132.4,128,122.2,116.4,101.8
rtx 2060,144.8,140.6,137.8,135,133.6,126.6,105.5,137.8,129.4,128,123.8,118.1,112.5,98.4
gtx 1070 Ti,141.5,137.4,134.6,131.9,130.5,123.7,103,134.6,126.4,125,120.9,115.4,109.9,96.2
gtx 1070,129.9,126.1,123.6,121,119.8,113.5,94.6,123.6,116,114.7,111,105.9,100.9,88.3
gtx 1660 Ti,129.9,126.1,123.6,121,119.8,113.5,94.6,123.6,116,114.7,111,105.9,100.9,88.3
gtx 1660 super,128.2,124.5,122,119.5,118.2,112,93.3,122,114.5,113.3,109.5,104.6,99.6,87.1
gtx 980 Ti,128.2,124.5,122,119.5,118.2,112,93.3,122,114.5,113.3,109.5,104.6,99.6,87.1
gtx 1660,124.9,121.2,118.8,116.4,115.2,109.1,90.9,118.8,111.5,110.3,106.7,101.8,97,84.9
gtx 1060 6G,121.5,118,115.6,113.3,112.1,106.2,88.5,115.6,108.6,107.4,103.8,99.1,94.4,82.6
gtx 980,108.2,105.1,103,100.9,99.8,94.6,78.8,103,96.7,95.6,92.5,88.3,84.1,73.5
gtx 1060 3G,106.6,103.5,101.4,99.3,98.3,93.1,77.6,101.4,95.2,94.1,91,86.9,82.8,72.4
gtx 970,101.6,98.6,96.6,94.7,93.7,88.7,74,96.6,90.7,89.7,86.8,82.8,78.9,69
gtx 1050 Ti,76.6,74.4,72.9,71.4,70.6,66.9,55.8,72.9,68.4,67.7,65.4,62.5,59.5,52
gtx 1050,68.3,66.3,64.9,63.6,63,59.6,49.7,64.9,61,60.3,58.3,55.7,53,46.4
rx 5700 xt,151.5,147.1,144.2,141.2,139.7,132.4,110.3,144.2,135.3,133.9,129.4,123.6,117.7,103
rx 5700,146.5,142.2,139.4,136.6,135.1,128,106.7,139.4,130.9,129.4,125.2,119.5,113.8,99.6
RX Vega 64,143.2,139,136.2,133.5,132.1,125.1,104.3,136.2,127.9,126.5,122.3,116.8,111.2,97.3
rx 590,123.2,119.6,117.2,114.8,113.6,107.7,89.7,117.2,110,108.9,105.3,100.5,95.7,83.7
RX 580,88.2,85.7,84,82.2,81.4,77.1,64.3,84,78.8,78,75.4,72,68.5,60
RX 480,84.9,82.4,80.8,79.1,78.3,74.2,61.8,80.8,75.8,75,72.5,69.2,66,57.7
RX 570,79.9,77.6,76,74.5,73.7,69.8,58.2,76,71.4,70.6,68.3,65.2,62.1,54.3
