 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,109.9,106.7,104.6,102.5,101.4,96.1,80,104.6,98.2,97.1,93.9,89.7,85.4,74.7
rtx 2080,89.3,86.7,85,83.2,82.4,78,65,85,79.8,78.9,76.3,72.8,69.4,60.7
gtx 1080 Ti,85.9,83,81.7,80,79.2,75,62.5,81.7,76.7,75.9,73.4,70,66.7,58.4
gtx Titan X,85,82.5,80.9,79.2,78.4,74.3,61.9,80.9,75.9,75.1,72.6,69.3,66,57.8
rtx 2070 super,84.2,81.7,80.1,78.4,77.6,73.5,61.3,80.1,75.2,74.4,71.9,68.6,65.4,57.2
rtx 2070,80.7,78.4,76.8,75.2,74.5,70.5,58.8,76.8,72.1,71.3,69,65.8,62.7,54.9
gtx 1080,79.9,77.5,76,74.4,73.7,69.8,58.2,76,71.3,70.6,68.2,65.1,62,54.3
rtx 2060 super,77.3,75,73.5,72,71.3,67.5,56.3,73.5,69,68.3,66,63,60,52.5
rtx 2060,74.7,72.5,71.1,69.6,68.9,65.3,54.4,71.1,66.7,66,63.8,60.9,58,50.8
gtx 1070 Ti,73,70.9,69.5,68,67.3,63.8,53.2,69.5,65.2,64.5,62.4,59.5,56.7,49.6
gtx 1070,67,65,63.7,62.4,61.8,58.5,48.8,63.7,59.8,59.2,57.2,54.6,52,45.5
gtx 1660 Ti,67,65,63.7,62.4,61.8,58.5,48.8,63.7,59.8,59.2,57.2,54.6,52,45.5
gtx 1660 super,66.1,64.2,62.9,61.6,61,57.8,48.2,62.9,59.1,58.4,56.5,53.9,51.4,44.9
gtx 980 Ti,66.1,64.2,62.9,61.6,61,57.8,48.2,62.9,59.1,58.4,56.5,53.9,51.4,44.9
gtx 1660,64.4,62.5,61.3,60,59.4,56.3,46.9,61.3,57.5,56.9,55,52.5,50,43.8
gtx 1060 6G,62.7,60.9,59.7,58.4,57.8,54.8,45.7,59.7,56,55.4,53.6,51.1,48.7,42.6
gtx 980,55.8,54.2,53.1,52,51.5,48.8,40.6,53.1,49.9,49.3,47.7,45.5,43.4,37.9
gtx 1060 3G,55,53.4,52.3,51.2,50.7,48,40,52.3,49.1,48.6,47,44.8,42.7,37.4
gtx 970,52.4,50.9,49.8,48.8,48.3,45.8,38.1,49.8,46.8,46.3,44.8,42.7,40.7,35.6
gtx 1050 Ti,39.5,38.4,37.6,36.8,36.4,34.5,28.8,37.6,35.3,34.9,33.8,32.2,30.7,26.8
gtx 1050,35.2,34.2,33.5,32.8,32.5,30.8,25.6,33.5,31.5,31.1,30.1,28.7,27.3,23.9
rx 5700 xt,78.2,75.9,74.4,72.8,72.1,68.3,56.9,74.4,69.8,69,66.8,63.7,60.7,53.1
rx 5700,75.6,73.4,71.9,70.4,69.7,66,55,71.9,67.5,66.8,64.6,61.6,58.7,51.4
RX Vega 64,73.9,71.7,70.3,68.8,68.1,64.5,53.8,70.3,66,65.3,63.1,60.2,57.4,50.2
rx 590,63.6,61.7,60.5,59.2,58.6,55.5,46.3,60.5,56.8,56.1,54.3,51.8,49.4,43.2
RX 580,45.5,44.2,43.3,42.4,42,39.8,33.1,43.3,40.7,40.2,38.9,37.1,35.4,30.9
RX 480,43.8,42.5,41.7,40.8,40.4,38.3,31.9,41.7,39.1,38.7,37.4,35.7,34,29.8
RX 570,41.2,40,39.2,38.4,38,36,30,39.2,36.8,36.4,35.2,33.6,32,28
