 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,242.9,235.8,231.1,226.4,224,212.2,176.9,231.1,216.9,214.6,207.5,198.1,188.6,165.1
rtx 2080,197.3,191.6,187.8,183.9,182,172.4,143.7,187.8,176.3,174.3,168.6,160.9,153.3,134.1
gtx 1080 Ti,190.8,184,181.2,178.2,176.5,166.7,138.6,180.5,170.1,167.6,163.1,154.8,148.6,129.5
gtx Titan X,187.8,182.4,178.7,175.1,173.3,164.1,136.8,178.7,167.8,166,160.5,153.2,145.9,127.7
rtx 2070 super,186,180.5,176.9,173.3,171.5,162.5,135.4,176.9,166.1,164.3,158.9,151.7,144.4,126.4
rtx 2070,178.4,173.2,169.7,166.2,164.5,155.9,129.9,169.7,159.3,157.6,152.4,145.5,138.5,121.2
gtx 1080,177.5,171.6,168.1,164.7,162.8,154.6,128.7,167.9,158.6,155.9,150.9,144.9,137.6,120.1
rtx 2060 super,170.8,165.8,162.5,159.2,157.5,149.2,124.3,162.5,152.5,150.9,145.9,139.3,132.6,116.1
rtx 2060,165.1,160.3,157.1,153.9,152.3,144.2,120.2,157.1,147.5,145.8,141,134.6,128.2,112.2
gtx 1070 Ti,162.6,157.9,154.1,151.4,149.5,141.7,117.8,153.5,145.1,142.5,138,131.8,125.4,110.3
gtx 1070,148.8,144.2,141.3,138.8,136.9,130.1,108.4,140.8,132.6,130.8,127,121.5,115.1,100.7
gtx 1660 Ti,148,143.7,140.8,137.9,136.5,129.3,107.8,140.8,132.2,130.8,126.4,120.7,115,100.6
gtx 1660 super,146.1,141.9,139,136.2,134.8,127.7,106.4,139,130.5,129.1,124.8,119.2,113.5,99.3
gtx 980 Ti,146.1,141.9,139,136.2,134.8,127.7,106.4,139,130.5,129.1,124.8,119.2,113.5,99.3
gtx 1660,142.3,138.2,135.4,132.6,131.3,124.3,103.6,135.4,127.1,125.7,121.6,116.1,110.5,96.7
gtx 1060 6G,139.7,134.7,132.4,129.8,128.1,121,101.1,131.8,123.9,122.4,119.3,113.1,108,94.6
gtx 980,123.3,119.7,117.3,115,113.8,107.8,89.8,117.3,110.2,109,105.4,100.6,95.8,83.8
gtx 1060 3G,121.8,118.9,116.4,113.2,112.7,106.2,89.1,115.5,108.8,107.3,103.9,99.6,95,82.9
gtx 970,115.7,112.4,110.1,107.9,106.8,101.1,84.3,110.1,103.4,102.3,98.9,94.4,89.9,78.7
gtx 1050 Ti,87.9,85.3,83.1,81.8,80.6,76.6,63.7,83,78,77.1,74.8,71.2,68.1,59.6
gtx 1050,77.9,75.6,74.3,72.9,71.8,68.4,56.6,74,69.8,68.7,66.9,64,60.8,53.1
rx 5700 xt,172.7,167.6,164.3,160.9,159.3,150.9,125.7,164.3,154.2,152.6,147.5,140.8,134.1,117.3
rx 5700,167,162.1,158.9,155.6,154,145.9,121.6,158.9,149.1,147.5,142.7,136.2,129.7,113.5
RX Vega 64,163.2,158.4,155.3,152.1,150.5,142.6,118.8,155.3,145.8,144.2,139.4,133.1,126.7,110.9
rx 590,140.4,136.3,133.6,130.9,129.5,122.7,102.2,133.6,125.4,124.1,120,114.5,109.1,95.4
RX 580,101,97.8,96.5,94.5,93.2,88,73.3,95.7,90.3,88.8,86.3,82.3,78.3,68.5
RX 480,97.4,94.1,92.1,90.6,89.8,84.7,70.6,92.1,86.7,85.5,83.2,79.2,75.4,65.8
RX 570,91.1,88.8,87.4,85.2,84.3,79.8,66.7,86.7,81.5,80.5,78.3,74.4,71,62.4
