 ,i7 8700K,i7 7700K,i5 8600k,i5 8400,i5 7600k,i5 7500,i3 7100,Ryzen 5 2600x,Ryzen 5 1600x,Ryzen 5 2600,Ryzen 7 1700X,Ryzen 5 1600,Ryzen 7 1700,Ryzen 3 1200
rtx 2080 Ti,99.2,96.3,94.4,92.5,91.5,86.7,72.2,94.4,88.6,87.6,84.8,80.9,77,67.4
rtx 2080,80.6,78.2,76.7,75.1,74.3,70.4,58.7,76.7,72,71.2,68.9,65.7,62.6,54.8
gtx 1080 Ti,77.5,75,73.7,72.2,71.5,67.7,56.4,73.7,69.2,68.5,66.2,63.2,60.2,52.7
gtx Titan X,76.7,74.5,73,71.5,70.8,67,55.9,73,68.5,67.8,65.5,62.6,59.6,52.1
rtx 2070 super,75.9,73.7,72.3,70.8,70,66.4,55.3,72.3,67.8,67.1,64.9,61.9,59,51.6
rtx 2070,72.8,70.7,69.3,67.9,67.2,63.7,53,69.3,65.1,64.4,62.2,59.4,56.6,49.5
gtx 1080,72.1,70,68.6,67.2,66.5,63,52.5,68.6,64.4,63.7,61.6,58.8,56,49
rtx 2060 super,69.7,67.7,66.4,65,64.3,60.9,50.8,66.4,62.3,61.6,59.6,56.9,54.2,47.4
rtx 2060,67.4,65.5,64.1,62.8,62.2,58.9,49.1,64.1,60.2,59.6,57.6,55,52.4,45.8
gtx 1070 Ti,65.9,64,62.7,61.4,60.8,57.6,48,62.7,58.8,58.2,56.3,53.7,51.2,44.8
gtx 1070,60.4,58.7,57.5,56.3,55.8,52.8,44,57.5,54,53.4,51.6,49.3,46.9,41.1
gtx 1660 Ti,60.4,58.7,57.5,56.3,55.8,52.8,44,57.5,54,53.4,51.6,49.3,46.9,41.1
gtx 1660 super,59.7,57.9,56.8,55.6,55,52.1,43.5,56.8,53.3,52.7,51,48.7,46.3,40.6
gtx 980 Ti,59.7,57.9,56.8,55.6,55,52.1,43.5,56.8,53.3,52.7,51,48.7,46.3,40.6
gtx 1660,58.1,56.4,55.3,54.2,53.6,50.8,42.3,55.3,51.9,51.4,49.7,47.4,45.1,39.5
gtx 1060 6G,56.6,54.9,53.8,52.7,52.2,49.4,41.2,53.8,50.5,50,48.3,46.1,43.9,38.4
gtx 980,50.4,48.9,47.9,46.9,46.5,44,36.7,47.9,45,44.5,43,41.1,39.1,34.2
gtx 1060 3G,49.6,48.2,47.2,46.2,45.7,43.3,36.1,47.2,44.3,43.8,42.4,40.4,38.5,33.7
gtx 970,47.3,45.9,45,44.1,43.6,41.3,34.4,45,42.2,41.8,40.4,38.6,36.7,32.1
gtx 1050 Ti,35.6,34.6,33.9,33.2,32.9,31.1,26,33.9,31.8,31.5,30.5,29.1,27.7,24.2
gtx 1050,31.8,30.8,30.2,29.6,29.3,27.8,23.1,30.2,28.4,28.1,27.1,25.9,24.7,21.6
rx 5700 xt,70.5,68.5,67.1,65.7,65,61.6,51.4,67.1,63,62.3,60.3,57.5,54.8,47.9
rx 5700,68.2,66.2,64.9,63.6,62.9,59.6,49.7,64.9,60.9,60.3,58.3,55.6,53,46.3
RX Vega 64,66.6,64.7,63.4,62.1,61.5,58.2,48.5,63.4,59.5,58.9,56.9,54.4,51.8,45.3
rx 590,57.3,55.7,54.6,53.5,52.9,50.1,41.8,54.6,51.2,50.7,49,46.8,44.5,39
RX 580,41.1,39.9,39.1,38.3,37.9,35.9,29.9,39.1,36.7,36.3,35.1,33.5,31.9,27.9
RX 480,39.5,38.4,37.6,36.8,36.5,34.5,28.8,37.6,35.3,34.9,33.8,32.2,30.7,26.9
RX 570,37.2,36.1,35.4,34.7,34.3,32.5,27.1,35.4,33.2,32.9,31.8,30.3,28.9,25.3
